onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_psych_history	ProAnti3Marino_mem_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
2492.796073	0.3920020000000477	states									"   state_name
id           
11    stim_on"
2493.188075	5.000993000000108	states									"     state_name
id             
28  error_state"
2498.189582	61.38748600000008	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2498.189582	61.38748600000008	states									"   state_name
id           
0     state_0"
2498.189582	0.015997999999854073	states									"          state_name
id                  
1   sending_trialnum"
2498.20558	51.339488000000074	states									"      state_name
id              
3   wait_for_cin"
2549.545068	1.0	states									"   state_name
id           
4     context"
2550.545068	0.0015000000003055902	states									"   state_name
id           
6       csgap"
2550.546568	1.0004999999996471	states									"   state_name
id           
11    stim_on"
2551.547068	0.0010090000000673172	states									"   state_name
id           
12   stim_off"
2551.548077	3.0279960000002575	states									"        state_name
id                
13  wait_for_spoke"
2554.576073	5.000994999999875	states									"     state_name
id             
28  error_state"
2559.577584	23.057488999999805	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2559.577584	23.057488999999805	states									"   state_name
id           
0     state_0"
2559.577584	0.016005999999833875	states									"          state_name
id                  
1   sending_trialnum"
2559.59359	15.839477999999872	states									"      state_name
id              
3   wait_for_cin"
2575.433068	1.0000050000003284	states									"   state_name
id           
4     context"
2576.433073	0.0014949999999771535	states									"   state_name
id           
6       csgap"
2576.434568	1.0000099999997474	states									"   state_name
id           
11    stim_on"
2577.434578	0.0010019999999713036	states									"   state_name
id           
12   stim_off"
2577.43558	0.19848799999999756	states									"        state_name
id                
13  wait_for_spoke"
2577.634068	5.001005000000077	states									"     state_name
id             
28  error_state"
2582.635581	23.616495000000214	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2582.635581	23.616495000000214	states									"   state_name
id           
0     state_0"
2582.635581	0.015997999999854073	states									"          state_name
id                  
1   sending_trialnum"
2582.651579	17.392505000000256	states									"      state_name
id              
3   wait_for_cin"
2600.044084	1.0004839999996875	states									"   state_name
id           
4     context"
2601.044568	0.0010040000001936278	states									"   state_name
id           
6       csgap"
2601.045572	0.2054960000000392	states									"   state_name
id           
11    stim_on"
2601.251068	5.0010080000001835	states									"     state_name
id             
28  error_state"
2606.252568	38.258000000000266	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2606.252568	38.258000000000266	states									"   state_name
id           
0     state_0"
2606.252568	0.016000000000076398	states									"          state_name
id                  
1   sending_trialnum"
2606.268568	11.081008999999995	states									"      state_name
id              
3   wait_for_cin"
2617.349577	1.0000020000002223	states									"   state_name
id           
4     context"
2618.349579	0.0014889999997649284	states									"   state_name
id           
6       csgap"
2618.351068	1.0	states									"   state_name
id           
11    stim_on"
2619.351068	0.0014999999998508429	states									"   state_name
id           
12   stim_off"
2619.352568	20.157009000000016	states									"        state_name
id                
13  wait_for_spoke"
2639.509577	5.00099100000034	states									"     state_name
id             
28  error_state"
