onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
828.986401	325.48700599999995	trials	1.0	1.0	-1.0			0.0	0.0	l	-1.0	
828.986401	325.48700599999995	states										"   state_name
id           
0     state_0"
828.986401	0.015994999999975335	states										"          state_name
id                  
1   sending_trialnum"
829.002396	0.009500000000002728	states										"           state_name
id                   
3   clean_sound_state"
829.011896	0.0015010000000756918	states										"   state_name
id           
4         iti"
829.013397	77.26600399999995	states										"         state_name
id                 
6   wait_for_cpoke1"
906.279401	0.0014949999999771535	states										"             state_name
id                     
8   play_stimulus_sound"
906.280896	0.1460060000000567	states										"   state_name
id           
9      cpoke1"
906.426902	0.2009939999999233	states										"        state_name
id                
12  temp_violation"
906.627896	77.33249999999998	states										"         state_name
id                 
6   wait_for_cpoke1"
983.960396	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
983.961896	0.44350599999995666	states										"   state_name
id           
9      cpoke1"
984.405402	0.20099400000003698	states										"        state_name
id                
12  temp_violation"
984.606396	73.84949999999992	states										"         state_name
id                 
6   wait_for_cpoke1"
1058.455896	0.0015040000000681175	states										"             state_name
id                     
8   play_stimulus_sound"
1058.4574	0.06299599999988459	states										"   state_name
id           
9      cpoke1"
1058.520396	0.20100200000001678	states										"        state_name
id                
12  temp_violation"
1058.721398	0.41899800000010146	states										"         state_name
id                 
6   wait_for_cpoke1"
1059.140396	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1059.141896	1.3455059999998866	states										"   state_name
id           
9      cpoke1"
1060.487402	0.20099400000003698	states										"        state_name
id                
12  temp_violation"
1060.688396	1.5550080000000435	states										"         state_name
id                 
6   wait_for_cpoke1"
1062.243404	0.0015080000000580185	states										"             state_name
id                     
8   play_stimulus_sound"
1062.244912	1.7594839999999294	states										"   state_name
id           
9      cpoke1"
1064.004396	0.20101799999997638	states										"        state_name
id                
12  temp_violation"
1064.205414	0.44748200000003635	states										"         state_name
id                 
6   wait_for_cpoke1"
1064.652896	0.0015160000000378204	states										"             state_name
id                     
8   play_stimulus_sound"
1064.654412	1.4664839999998094	states										"   state_name
id           
9      cpoke1"
1066.120896	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1066.321896	1.4615089999999782	states										"         state_name
id                 
6   wait_for_cpoke1"
1067.783405	0.00150700000017423	states										"             state_name
id                     
8   play_stimulus_sound"
