onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
1171.450419	320.18499900000006	trials	1.0	1.0	1.0			0.0	0.0	r	1.0	
1171.450419	320.18499900000006	states										"   state_name
id           
0     state_0"
1171.450419	0.016000999999960186	states										"          state_name
id                  
1   sending_trialnum"
1171.46642	0.009499000000005253	states										"           state_name
id                   
3   clean_sound_state"
1171.475919	0.001494000000093365	states										"   state_name
id           
4         iti"
1171.477413	5.819500999999946	states										"         state_name
id                 
6   wait_for_cpoke1"
1177.296914	0.001500999999962005	states										"             state_name
id                     
8   play_stimulus_sound"
1177.298415	0.04849800000010873	states										"   state_name
id           
9      cpoke1"
1177.346913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1177.547913	52.819499999999834	states										"         state_name
id                 
6   wait_for_cpoke1"
1230.367413	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1230.368913	0.21049999999991087	states										"   state_name
id           
9      cpoke1"
1230.579413	0.20100200000001678	states										"        state_name
id                
12  temp_violation"
1230.780415	0.001498000000083266	states										"             state_name
id                     
8   play_stimulus_sound"
1230.781913	0.32100599999989754	states										"   state_name
id           
9      cpoke1"
1231.102919	0.20099400000003698	states										"        state_name
id                
12  temp_violation"
1231.303913	43.36050399999999	states										"         state_name
id                 
6   wait_for_cpoke1"
1274.664417	0.0014960000000883156	states										"             state_name
id                     
8   play_stimulus_sound"
1274.665913	0.021500000000060027	states										"   state_name
id           
9      cpoke1"
1274.687413	0.20100899999988542	states										"        state_name
id                
12  temp_violation"
1274.888422	114.57899100000009	states										"         state_name
id                 
6   wait_for_cpoke1"
1389.467413	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1389.468913	0.3150060000000394	states										"   state_name
id           
9      cpoke1"
1389.783919	0.20099400000003698	states										"        state_name
id                
12  temp_violation"
1389.984913	35.353000000000065	states										"         state_name
id                 
6   wait_for_cpoke1"
1425.337913	0.0015069999999468564	states										"             state_name
id                     
8   play_stimulus_sound"
1425.33942	0.18049300000006951	states										"   state_name
id           
9      cpoke1"
1425.519913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1425.720913	0.12251699999978882	states										"         state_name
id                 
6   wait_for_cpoke1"
1425.84343	0.0014830000000074506	states										"             state_name
id                     
8   play_stimulus_sound"
1425.844913	0.1225000000001728	states										"   state_name
id           
9      cpoke1"
1425.967413	0.20100699999989047	states										"        state_name
id                
12  temp_violation"
1426.16842	23.466000000000122	states										"         state_name
id                 
6   wait_for_cpoke1"
1449.63442	0.001492999999982203	states										"             state_name
id                     
8   play_stimulus_sound"
1449.635913	1.2145089999999072	states										"   state_name
id           
9      cpoke1"
1450.850422	0.20099099999993086	states										"        state_name
id                
12  temp_violation"
1451.051413	1.4980000000000473	states										"         state_name
id                 
6   wait_for_cpoke1"
1452.549413	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1452.550913	0.5484999999998763	states										"   state_name
id           
9      cpoke1"
1453.099413	0.20100300000012794	states										"        state_name
id                
12  temp_violation"
1453.300416	10.935502999999926	states										"         state_name
id                 
6   wait_for_cpoke1"
1464.235919	0.0015029999999569554	states										"             state_name
id                     
8   play_stimulus_sound"
1464.237422	0.2784910000000309	states										"   state_name
id           
9      cpoke1"
1464.515913	0.20101500000009764	states										"        state_name
id                
12  temp_violation"
1464.716928	0.29048499999998967	states										"         state_name
id                 
6   wait_for_cpoke1"
1465.007413	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1465.008913	1.1635070000002088	states										"   state_name
id           
9      cpoke1"
1466.17242	0.20099299999992581	states										"        state_name
id                
12  temp_violation"
1466.373413	0.8605000000000018	states										"         state_name
id                 
6   wait_for_cpoke1"
1467.233913	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1467.235413	1.1984999999999673	states										"   state_name
id           
9      cpoke1"
1468.433913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1468.634913	0.5759999999997945	states										"         state_name
id                 
6   wait_for_cpoke1"
1469.210913	0.0015200000000277214	states										"             state_name
id                     
8   play_stimulus_sound"
1469.212433	1.7604800000001433	states										"   state_name
id           
9      cpoke1"
1470.972913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1471.173913	4.319999999999936	states										"         state_name
id                 
6   wait_for_cpoke1"
1475.493913	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1475.495413	0.14201600000001235	states										"   state_name
id           
9      cpoke1"
1475.637429	0.20099099999993086	states										"        state_name
id                
12  temp_violation"
1475.83842	0.5334989999998925	states										"         state_name
id                 
6   wait_for_cpoke1"
1476.371919	0.001494000000093365	states										"             state_name
id                     
8   play_stimulus_sound"
1476.373413	1.8600059999998848	states										"   state_name
id           
9      cpoke1"
1478.233419	0.201001000000133	states										"        state_name
id                
12  temp_violation"
1478.43442	0.4594930000000659	states										"         state_name
id                 
6   wait_for_cpoke1"
1478.893913	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1478.895413	0.13451600000007602	states										"   state_name
id           
9      cpoke1"
1479.029929	0.20099899999991067	states										"        state_name
id                
12  temp_violation"
1479.230928	0.07248500000014246	states										"         state_name
id                 
6   wait_for_cpoke1"
1479.303413	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1479.304913	0.3890000000001237	states										"   state_name
id           
9      cpoke1"
1479.693913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1479.894913	1.8764999999998508	states										"         state_name
id                 
6   wait_for_cpoke1"
1481.771413	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1481.772913	0.1690000000000964	states										"   state_name
id           
9      cpoke1"
1481.941913	0.20099999999979445	states										"        state_name
id                
12  temp_violation"
1482.142913	0.04450000000019827	states										"         state_name
id                 
6   wait_for_cpoke1"
1482.187413	0.0014999999998508429	states										"             state_name
id                     
8   play_stimulus_sound"
1482.188913	0.24550700000008874	states										"   state_name
id           
9      cpoke1"
1482.43442	0.20099299999992581	states										"        state_name
id                
12  temp_violation"
1482.635413	0.7230070000000524	states										"         state_name
id                 
6   wait_for_cpoke1"
1483.35842	0.001492999999982203	states										"             state_name
id                     
8   play_stimulus_sound"
1483.359913	2.0	states										"   state_name
id           
9      cpoke1"
1485.359913	0.011500000000069122	states										"           state_name
id                   
13  center_2_side_gap"
1485.371413	0.2610059999999521	states										"        state_name
id                
17  wait_for_spoke"
1485.632419	0.0004939999998896383	states										"      state_name
id              
23  right_reward"
1485.632913	2.000500000000102	states										"   state_name
id           
24  hit_state"
1487.633413	3.0004999999998745	states										"          state_name
id                  
29  soft_drink_state"
1490.633913	1.0005100000000766	states										"   state_name
id           
26    warning"
1491.634423	0.0009950000001026638	states										"        state_name
id                
30  clean_up_state"
1491.635913	12.502999999999929	trials	1.0	1.0	-1.0			0.0	0.0	l	-1.0	
1491.635913	12.502999999999929	states										"   state_name
id           
0     state_0"
1491.635913	0.016016000000036	states										"          state_name
id                  
1   sending_trialnum"
1491.651929	0.00948999999991429	states										"           state_name
id                   
3   clean_sound_state"
1491.661419	0.0014939999998659914	states										"   state_name
id           
4         iti"
1491.662913	2.5355080000001635	states										"         state_name
id                 
6   wait_for_cpoke1"
1494.198421	0.001491999999871041	states										"             state_name
id                     
8   play_stimulus_sound"
1494.199913	1.80600000000004	states										"   state_name
id           
9      cpoke1"
1496.005913	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
1496.206913	0.6804999999999382	states										"         state_name
id                 
6   wait_for_cpoke1"
1496.887413	0.001502000000073167	states										"             state_name
id                     
8   play_stimulus_sound"
1496.888915	2.000498000000107	states										"   state_name
id           
9      cpoke1"
1498.889413	0.011499999999841748	states										"           state_name
id                   
13  center_2_side_gap"
1498.900913	0.5705000000000382	states										"        state_name
id                
17  wait_for_spoke"
1499.471413	0.0005000000001018634	states										"     state_name
id             
22  left_reward"
1499.471913	2.0000159999999596	states										"   state_name
id           
24  hit_state"
1501.471929	1.664984000000004	states										"          state_name
id                  
29  soft_drink_state"
1503.136913	1.0009999999999764	states										"   state_name
id           
26    warning"
1504.137913	0.0009999999999763531	states										"        state_name
id                
30  clean_up_state"
1504.139413	10.491999999999962	trials	1.0	0.0	-1.0	2.0	0.0	0.0	0.0	l	-1.0	
1504.139413	10.491999999999962	states										"   state_name
id           
0     state_0"
1504.139413	0.015999999999849024	states										"          state_name
id                  
1   sending_trialnum"
1504.155413	0.009500000000116415	states										"           state_name
id                   
3   clean_sound_state"
1504.164913	0.001504999999951906	states										"   state_name
id           
4         iti"
1504.166418	1.9049949999998717	states										"         state_name
id                 
6   wait_for_cpoke1"
1506.071413	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
1506.072913	2.0	states										"   state_name
id           
9      cpoke1"
1508.072913	0.011506999999937761	states										"           state_name
id                   
13  center_2_side_gap"
