onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1116.020322	0.016015999999808628	states												"          state_name
id                  
1   sending_trialnum"
1116.036338	3.4304890000000796	states												"      state_name
id              
3   wait_for_cin"
1119.466827	0.0004950000000008004	states												"   state_name
id           
4     nicstim"
1119.467322	0.0015089999999418069	states												"   state_name
id           
6       csgap"
1119.468831	0.669997000000194	states												"        state_name
id                
13  wait_for_spoke"
1120.138828	0.0004939999998896383	states												"             state_name
id                     
15  soff_reward_chooser"
1120.139322	0.0620010000000093	states												"         state_name
id                 
16  reward_big_soff"
1120.201323	0.41249900000002526	states												"         state_name
id                 
23  post_reward_off"
1120.613822	6.205999999999904	states												"         state_name
id                 
24  soft_drink_time"
1126.819822	0.0005060000000867149	states												"    state_name
id            
25  warndanger"
1126.820328	3.0005009999999857	states												"            state_name
id                    
26  warndanger_warning"
1129.821323	21.28199900000004	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1129.821323	21.28199900000004	states												"   state_name
id           
0     state_0"
1129.821323	0.01599900000019261	states												"          state_name
id                  
1   sending_trialnum"
1129.837322	6.210499999999911	states												"      state_name
id              
3   wait_for_cin"
1136.047822	0.0005160000000614673	states												"   state_name
id           
4     nicstim"
1136.048338	0.001483999999891239	states												"   state_name
id           
6       csgap"
1136.049822	1.0655000000001564	states												"        state_name
id                
13  wait_for_spoke"
1137.115322	0.0005059999998593412	states												"             state_name
id                     
15  soff_reward_chooser"
1137.115828	0.06199400000014066	states												"         state_name
id                 
16  reward_big_soff"
1137.177822	1.1630069999998796	states												"         state_name
id                 
23  post_reward_off"
1138.340829	9.761508999999933	states												"         state_name
id                 
24  soft_drink_time"
1148.102338	0.0004910000000108994	states												"    state_name
id            
25  warndanger"
1148.102829	3.000493000000006	states												"            state_name
id                    
26  warndanger_warning"
1151.103822	19.614499999999907	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1151.103822	19.614499999999907	states												"   state_name
id           
0     state_0"
1151.103822	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1151.119822	10.374499999999898	states												"      state_name
id              
3   wait_for_cin"
1161.494322	0.0005120000000715663	states												"   state_name
id           
4     nicstim"
1161.494834	0.0010039999999662541	states												"   state_name
id           
6       csgap"
1161.495838	0.9074889999999414	states												"        state_name
id                
13  wait_for_spoke"
1162.403327	0.0005109999999604042	states												"             state_name
id                     
15  soff_reward_chooser"
1162.403838	0.06198399999993853	states												"         state_name
id                 
16  reward_big_soff"
1162.465822	0.28800600000022314	states												"         state_name
id                 
23  post_reward_off"
1162.753828	4.963493999999855	states												"         state_name
id                 
24  soft_drink_time"
1167.717322	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1167.717822	3.0004999999998745	states												"            state_name
id                    
26  warndanger_warning"
1170.718829	13.447493000000122	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1170.718829	13.447493000000122	states												"   state_name
id           
0     state_0"
1170.718829	0.01601000000005115	states												"          state_name
id                  
1   sending_trialnum"
1170.734839	3.059483	states												"      state_name
id              
3   wait_for_cin"
1173.794322	0.0005089999999654538	states												"   state_name
id           
4     nicstim"
1173.794831	0.0014909999999872525	states												"   state_name
id           
6       csgap"
1173.796322	1.1929999999999836	states												"        state_name
id                
13  wait_for_spoke"
1174.989322	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1174.989822	0.06199999999989814	states												"         state_name
id                 
16  reward_big_soff"
1175.051822	0.07550000000014734	states												"         state_name
id                 
23  post_reward_off"
1175.127322	6.038499999999885	states												"         state_name
id                 
24  soft_drink_time"
1181.165822	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1181.166322	3.0	states												"            state_name
id                    
26  warndanger_warning"
1184.166827	18.994005000000016	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1184.166827	18.994005000000016	states												"   state_name
id           
0     state_0"
1184.166827	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1184.182827	9.363010999999915	states												"      state_name
id              
3   wait_for_cin"
1193.545838	0.0005000000001018634	states												"   state_name
id           
4     nicstim"
1193.546338	0.001483999999891239	states												"   state_name
id           
6       csgap"
1193.547822	0.8240000000000691	states												"        state_name
id                
13  wait_for_spoke"
1194.371822	0.0005059999998593412	states												"             state_name
id                     
15  soff_reward_chooser"
1194.372328	0.06199400000014066	states												"         state_name
id                 
16  reward_big_soff"
1194.434322	0.7875159999998687	states												"         state_name
id                 
23  post_reward_off"
1195.221838	4.938484000000017	states												"         state_name
id                 
24  soft_drink_time"
1200.160322	0.0005060000000867149	states												"    state_name
id            
25  warndanger"
1200.160828	3.00000399999999	states												"            state_name
id                    
26  warndanger_warning"
1203.161322	14.737510000000157	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1203.161322	14.737510000000157	states												"   state_name
id           
0     state_0"
1203.161322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1203.177322	4.787509	states												"      state_name
id              
3   wait_for_cin"
1207.964831	0.0004919999998946878	states												"   state_name
id           
4     nicstim"
1207.965323	0.0010150000000521686	states												"   state_name
id           
6       csgap"
1207.966338	0.4824940000000879	states												"        state_name
id                
13  wait_for_spoke"
1208.448832	0.0004899999998997373	states												"             state_name
id                     
15  soff_reward_chooser"
1208.449322	0.06200000000012551	states												"         state_name
id                 
16  reward_big_soff"
1208.511322	0.6615090000000237	states												"         state_name
id                 
23  post_reward_off"
1209.172831	5.724990999999818	states												"         state_name
id                 
24  soft_drink_time"
1214.897822	0.0005160000000614673	states												"    state_name
id            
25  warndanger"
1214.898338	3.000494000000117	states												"            state_name
id                    
26  warndanger_warning"
1217.899322	9.222500000000082	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1217.899322	9.222500000000082	states												"   state_name
id           
0     state_0"
1217.899322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1217.915322	0.03449999999997999	states												"      state_name
id              
3   wait_for_cin"
1217.949822	0.0004999999998744897	states												"   state_name
id           
4     nicstim"
1217.950322	0.0009999999999763531	states												"   state_name
id           
6       csgap"
1217.951322	0.7720000000001619	states												"        state_name
id                
13  wait_for_spoke"
1218.723322	0.0005009999999856518	states												"             state_name
id                     
15  soff_reward_chooser"
1218.723823	0.0620049999999992	states												"         state_name
id                 
16  reward_big_soff"
1218.785828	0.18700399999988804	states												"         state_name
id                 
23  post_reward_off"
1218.972832	5.148009000000002	states												"         state_name
id                 
24  soft_drink_time"
1224.120841	0.00048100000003614696	states												"    state_name
id            
25  warndanger"
1224.121322	3.000500000000102	states												"            state_name
id                    
26  warndanger_warning"
1227.122322	11.419000000000096	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1227.122322	11.419000000000096	states												"   state_name
id           
0     state_0"
1227.122322	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1227.138322	3.759501	states												"      state_name
id              
3   wait_for_cin"
1230.897823	0.0004989999999907013	states												"   state_name
id           
4     nicstim"
1230.898322	0.0009999999999763531	states												"   state_name
id           
6       csgap"
1230.899322	1.0585000000000946	states												"        state_name
id                
13  wait_for_spoke"
