onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	state_type
52.710269	6.576996000000001	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-1.0	2.5	6500.0	14200.0		l	3.0	d	1.0	-1.0	2.5	3.0	
52.710269	6.576996000000001	states																				"   state_name
id           
0     state_0"
52.710269	0.016003000000004874	states																				"          state_name
id                  
1   sending_trialnum"
52.726272	1.000503000000002	states																				"        state_name
id                
3   wait_for_cpoke"
53.726775	0.0005009999999998627	states																				"              state_name
id                      
4   wait_for_cpoke_wait2"
53.727276	1.0004939999999962	states																				"            state_name
id                    
5   wait_for_cpoke_dir"
54.72777	1.4174999999999969	states																				"            state_name
id                    
7   wait_for_cpoke_bis"
56.14527	0.0010040000000017812	states																				"     state_name
id             
8   nic_prestim"
56.146274	0.000491000000003794	states																				"   state_name
id           
9       cpoke"
56.146765	0.036000000000001364	states																				"   state_name
id           
10   cpoke_in"
56.182765	0.09999999999999432	states																				"   state_name
id           
11  cpoke_out"
56.282765	0.0005000000000023874	states																				"         state_name
id                 
18  nic_error_state"
56.283265	3.0005000000000024	states																				"          state_name
id                  
19  nic_error_state2"
59.283765	0.0034999999999953957	states																				"        state_name
id                
21  clean_up_state"
59.287771	7.889494000000006	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	1.0	6500.0	14200.0		l	3.0	d	1.0	-4.0	1.0	3.0	
59.287771	7.889494000000006	states																				"   state_name
id           
0     state_0"
59.287771	0.015999999999998238	states																				"          state_name
id                  
1   sending_trialnum"
59.303771	1.0000100000000032	states																				"        state_name
id                
3   wait_for_cpoke"
60.303781	0.0005049999999968691	states																				"              state_name
id                      
4   wait_for_cpoke_wait2"
60.304286	1.0004790000000057	states																				"            state_name
id                    
5   wait_for_cpoke_dir"
61.304765	2.697507999999999	states																				"            state_name
id                    
7   wait_for_cpoke_bis"
64.002273	0.0014970000000005257	states																				"     state_name
id             
8   nic_prestim"
64.00377	0.0005009999999998627	states																				"   state_name
id           
9       cpoke"
64.004271	0.06800099999999532	states																				"   state_name
id           
10   cpoke_in"
64.072272	0.10049300000000017	states																				"   state_name
id           
11  cpoke_out"
64.172765	0.0005000000000023874	states																				"         state_name
id                 
18  nic_error_state"
64.173265	3.0005000000000024	states																				"          state_name
id                  
19  nic_error_state2"
67.173765	0.003500000000002501	states																				"        state_name
id                
21  clean_up_state"
67.17777	51.169495	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	4.0	-1.0	6500.0	14200.0		r	1.0	d	1.0	4.0	-1.0	3.0	
67.17777	51.169495	states																				"   state_name
id           
0     state_0"
67.17777	0.01600100000000282	states																				"          state_name
id                  
1   sending_trialnum"
67.193771	1.0	states																				"        state_name
id                
3   wait_for_cpoke"
