onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
6001.116187	32.74598700000024	trials	1.0	1.0	1.0			0.0	0.0	r	1.0	
6001.116187	32.74598700000024	states										"   state_name
id           
0     state_0"
6001.116187	0.01600200000029872	states										"          state_name
id                  
1   sending_trialnum"
6001.132189	0.018984000000273227	states										"           state_name
id                   
3   clean_sound_state"
6001.151173	0.0010169999995923718	states										"   state_name
id           
4         iti"
6001.15219	14.70398699999987	states										"         state_name
id                 
6   wait_for_cpoke1"
6015.856177	0.002996000000166532	states										"             state_name
id                     
8   play_stimulus_sound"
6015.859173	0.03200300000025891	states										"   state_name
id           
9      cpoke1"
6015.891176	0.20200199999999313	states										"        state_name
id                
12  temp_violation"
6016.093178	0.002997999999934109	states										"             state_name
id                     
8   play_stimulus_sound"
6016.096176	0.16300700000010693	states										"   state_name
id           
9      cpoke1"
6016.259183	0.20199700000011944	states										"        state_name
id                
12  temp_violation"
6016.46118	0.002996000000166532	states										"             state_name
id                     
8   play_stimulus_sound"
6016.464176	0.12499699999989389	states										"   state_name
id           
9      cpoke1"
6016.589173	0.20199999999931606	states										"        state_name
id                
12  temp_violation"
6016.791173	1.1050110000005589	states										"         state_name
id                 
6   wait_for_cpoke1"
6017.896184	0.002996999999595573	states										"             state_name
id                     
8   play_stimulus_sound"
6017.899181	0.599992000000384	states										"   state_name
id           
9      cpoke1"
6018.499173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6018.701173	0.044002999999975145	states										"         state_name
id                 
6   wait_for_cpoke1"
6018.745176	0.0030039999992368394	states										"             state_name
id                     
8   play_stimulus_sound"
6018.74818	0.3440100000007078	states										"   state_name
id           
9      cpoke1"
6019.09219	0.20198299999992742	states										"        state_name
id                
12  temp_violation"
6019.294173	0.003004000000146334	states										"             state_name
id                     
8   play_stimulus_sound"
6019.297177	0.39599599999928614	states										"   state_name
id           
9      cpoke1"
6019.693173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6019.895173	0.08100600000034319	states										"         state_name
id                 
6   wait_for_cpoke1"
6019.976179	0.0029939999994894606	states										"             state_name
id                     
8   play_stimulus_sound"
6019.979173	0.5039999999999054	states										"   state_name
id           
9      cpoke1"
6020.483173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6020.685173	0.29100800000014715	states										"         state_name
id                 
6   wait_for_cpoke1"
6020.976181	0.002991999999721884	states										"             state_name
id                     
8   play_stimulus_sound"
6020.979173	0.14700900000025285	states										"   state_name
id           
9      cpoke1"
6021.126182	0.20199800000045798	states										"        state_name
id                
12  temp_violation"
6021.32818	0.07800499999939348	states										"         state_name
id                 
6   wait_for_cpoke1"
6021.406185	0.00298800000018673	states										"             state_name
id                     
8   play_stimulus_sound"
6021.409173	0.4150129999998171	states										"   state_name
id           
9      cpoke1"
6021.824186	0.20199500000035187	states										"        state_name
id                
12  temp_violation"
6022.026181	0.032000000000152795	states										"         state_name
id                 
6   wait_for_cpoke1"
6022.058181	0.002991999999721884	states										"             state_name
id                     
8   play_stimulus_sound"
6022.061173	0.6939999999995052	states										"   state_name
id           
9      cpoke1"
6022.755173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6022.957173	0.042008000000350876	states										"         state_name
id                 
6   wait_for_cpoke1"
6022.999181	0.0029990000002726447	states										"             state_name
id                     
8   play_stimulus_sound"
6023.00218	0.2309929999992164	states										"   state_name
id           
9      cpoke1"
6023.233173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6023.435173	0.0030090000000200234	states										"             state_name
id                     
8   play_stimulus_sound"
6023.438182	0.018990999999914493	states										"   state_name
id           
9      cpoke1"
6023.457173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6023.659173	0.13500800000019808	states										"         state_name
id                 
6   wait_for_cpoke1"
6023.794181	0.002991999999721884	states										"             state_name
id                     
8   play_stimulus_sound"
6023.797173	0.3190039999999499	states										"   state_name
id           
9      cpoke1"
6024.116177	0.20200800000020536	states										"        state_name
id                
12  temp_violation"
6024.318185	0.7709880000002158	states										"         state_name
id                 
6   wait_for_cpoke1"
6025.089173	0.003006999999342952	states										"             state_name
id                     
8   play_stimulus_sound"
6025.09218	0.6909930000001623	states										"   state_name
id           
9      cpoke1"
6025.783173	0.20200000000022555	states										"        state_name
id                
12  temp_violation"
6025.985173	0.6730040000002191	states										"         state_name
id                 
6   wait_for_cpoke1"
6026.658177	0.002996000000166532	states										"             state_name
id                     
8   play_stimulus_sound"
6026.661173	0.7410079999999653	states										"   state_name
id           
9      cpoke1"
6027.402181	0.2020009999996546	states										"        state_name
id                
12  temp_violation"
6027.604182	0.0029910000002928427	states										"             state_name
id                     
8   play_stimulus_sound"
6027.607173	0.7650059999996301	states										"   state_name
id           
9      cpoke1"
6028.372179	0.01099900000008347	states										"           state_name
id                   
13  center_2_side_gap"
6028.383178	0.9830019999999422	states										"        state_name
id                
17  wait_for_spoke"
6029.36618	0.000992999999652966	states										"      state_name
id              
23  right_reward"
6029.367173	2.001013000000057	states										"   state_name
id           
24  hit_state"
6031.368186	1.490987000000132	states										"          state_name
id                  
29  soft_drink_state"
6032.859173	1.0010080000001835	states										"   state_name
id           
26    warning"
6033.860181	0.0019929999998566927	states										"        state_name
id                
30  clean_up_state"
6033.863173	28.86999999999989	trials	0.0	1.0	1.0			0.0	0.0	r	1.0	
6033.863173	28.86999999999989	states										"   state_name
id           
0     state_0"
6033.863173	0.0160040000000663	states										"          state_name
id                  
1   sending_trialnum"
6033.879177	0.01900000000023283	states										"           state_name
id                   
3   clean_sound_state"
6033.898177	0.0020029999996040715	states										"   state_name
id           
4         iti"
6033.90018	0.48299300000053336	states										"         state_name
id                 
6   wait_for_cpoke1"
6034.383173	0.0030079999996814877	states										"             state_name
id                     
8   play_stimulus_sound"
6034.386181	0.7219990000003236	states										"   state_name
id           
9      cpoke1"
6035.10818	0.2020009999996546	states										"        state_name
id                
12  temp_violation"
6035.310181	0.2659929999999804	states										"         state_name
id                 
6   wait_for_cpoke1"
6035.576174	0.0029990000002726447	states										"             state_name
id                     
8   play_stimulus_sound"
