onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
400.083239	174.61248700000004	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
400.083239	174.61248700000004	states												"   state_name
id           
0     state_0"
400.083239	0.01599900000002208	states												"          state_name
id                  
1   sending_trialnum"
400.099238	149.00048800000002	states												"      state_name
id              
3   wait_for_cin"
549.099726	1.0	states												"   state_name
id           
4     context"
550.099726	0.0015089999999418069	states												"   state_name
id           
6       csgap"
550.101235	1.000491000000011	states												"   state_name
id           
11    stim_on"
551.101726	0.0010009999999738284	states												"   state_name
id           
12   stim_off"
551.102727	18.591499	states												"        state_name
id                
13  wait_for_spoke"
569.694226	5.001500000000078	states												"     state_name
id             
28  error_state"
574.696235	126.28849100000002	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
574.696235	126.28849100000002	states												"   state_name
id           
0     state_0"
574.696235	0.01599399999997786	states												"          state_name
id                  
1   sending_trialnum"
574.712229	34.084997000000044	states												"      state_name
id              
3   wait_for_cin"
608.797226	1.0000149999999621	states												"   state_name
id           
4     context"
609.797241	0.001485000000002401	states												"   state_name
id           
6       csgap"
609.798726	1.0	states												"   state_name
id           
11    stim_on"
610.798726	0.0010029999999687789	states												"   state_name
id           
12   stim_off"
610.799729	85.18399700000009	states												"        state_name
id                
13  wait_for_spoke"
695.983726	5.000999999999976	states												"     state_name
id             
28  error_state"
700.985227	38.650012999999944	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
700.985227	38.650012999999944	states												"   state_name
id           
0     state_0"
700.985227	0.01599999999996271	states												"          state_name
id                  
1   sending_trialnum"
701.001227	26.22749900000008	states												"      state_name
id              
3   wait_for_cin"
727.228726	1.0000079999999798	states												"   state_name
id           
4     context"
728.228734	0.0014919999999847278	states												"   state_name
id           
6       csgap"
728.230226	1.0	states												"   state_name
id           
11    stim_on"
729.230226	0.0010109999999485808	states												"   state_name
id           
12   stim_off"
729.231237	0.8744890000000396	states												"        state_name
id                
13  wait_for_spoke"
730.105726	0.0004999999999881766	states												"             state_name
id                     
15  soff_reward_chooser"
730.106226	0.04300699999998869	states												"         state_name
id                 
16  reward_big_soff"
730.149233	0.02449300000000676	states												"         state_name
id                 
23  post_reward_off"
730.173726	6.461000000000013	states												"         state_name
id                 
24  soft_drink_time"
736.634726	0.0005079999999679785	states												"    state_name
id            
25  warndanger"
736.635234	3.000005999999985	states												"            state_name
id                    
26  warndanger_warning"
739.635726	43.94350099999997	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
739.635726	43.94350099999997	states												"   state_name
id           
0     state_0"
739.635726	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
739.651726	29.230999999999995	states												"      state_name
id              
3   wait_for_cin"
768.882726	1.0	states												"   state_name
id           
4     context"
769.882726	0.0009999999999763531	states												"   state_name
id           
6       csgap"
769.883726	1.0000069999999823	states												"   state_name
id           
11    stim_on"
770.883733	0.0014999999999645297	states												"   state_name
id           
12   stim_off"
770.885233	7.692995999999994	states												"        state_name
id                
13  wait_for_spoke"
778.578229	5.000997999999981	states												"     state_name
id             
28  error_state"
783.579727	112.91301499999997	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
783.579727	112.91301499999997	states												"   state_name
id           
0     state_0"
783.579727	0.016002999999955136	states												"          state_name
id                  
1   sending_trialnum"
783.59573	103.57499599999994	states												"      state_name
id              
3   wait_for_cin"
887.170726	1.0	states												"   state_name
id           
4     context"
888.170726	0.0015000000000782165	states												"   state_name
id           
6       csgap"
888.172226	0.6879999999999882	states												"   state_name
id           
11    stim_on"
888.860226	0.0004999999999881766	states												"            state_name
id                    
14  son_reward_chooser"
