onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	ProAnti3_cpoketry	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1238.777061	167.10251399999993	trials	1.0	l	1.0	p	1.0	r	8.0	0.0	0.0	1.0	l	p	
1238.777061	167.10251399999993	states													"   state_name
id           
0     state_0"
1238.777061	0.016000000000076398	states													"          state_name
id                  
1   sending_trialnum"
1238.793061	0.29099999999994	states													"      state_name
id              
3   wait_for_cin"
1239.084061	0.0025000000000545697	states													"   state_name
id           
4     nicstim"
1239.086561	0.0004999999998744897	states													"       state_name
id               
5   stimon_nosein"
1239.087061	0.35799999999994725	states													"   state_name
id           
4     nicstim"
1239.445061	114.23900000000003	states													"      state_name
id              
7   reinit_cpoke"
1353.684061	0.002003000000058819	states													"   state_name
id           
4     nicstim"
1353.686064	0.0004969999999957508	states													"       state_name
id               
5   stimon_nosein"
1353.686561	0.48250000000007276	states													"   state_name
id           
4     nicstim"
1354.169061	1.002514999999903	states													"      state_name
id              
7   reinit_cpoke"
1355.171576	0.0020010000000638684	states													"   state_name
id           
4     nicstim"
1355.173577	0.00048399999991488585	states													"       state_name
id               
5   stimon_nosein"
1355.174061	0.6320000000000618	states													"   state_name
id           
4     nicstim"
1355.806061	1.0025000000000546	states													"      state_name
id              
7   reinit_cpoke"
1356.808561	0.0025000000000545697	states													"   state_name
id           
4     nicstim"
1356.811061	0.0005059999998593412	states													"       state_name
id               
5   stimon_nosein"
1356.811567	0.22549400000002606	states													"   state_name
id           
4     nicstim"
1357.037061	1.0025089999999182	states													"      state_name
id              
7   reinit_cpoke"
1358.03957	0.0024910000001909793	states													"   state_name
id           
4     nicstim"
1358.042061	0.0004999999998744897	states													"       state_name
id               
5   stimon_nosein"
1358.042561	0.2074999999999818	states													"   state_name
id           
4     nicstim"
1358.250061	1.0020059999999376	states													"      state_name
id              
7   reinit_cpoke"
1359.252067	0.0024940000000697182	states													"   state_name
id           
4     nicstim"
1359.254561	0.0005000000001018634	states													"       state_name
id               
5   stimon_nosein"
1359.255061	0.5850000000000364	states													"   state_name
id           
4     nicstim"
1359.840061	1.293999999999869	states													"      state_name
id              
7   reinit_cpoke"
1361.134061	0.00201599999991231	states													"   state_name
id           
4     nicstim"
1361.136077	0.0004840000001422595	states													"       state_name
id               
5   stimon_nosein"
1361.136561	0.37750000000005457	states													"   state_name
id           
4     nicstim"
1361.514061	34.048499999999876	states													"      state_name
id              
7   reinit_cpoke"
1395.562561	0.0020059999999375577	states													"   state_name
id           
4     nicstim"
1395.564567	0.0005100000000766158	states													"       state_name
id               
5   stimon_nosein"
1395.565077	0.5934999999999491	states													"   state_name
id           
4     nicstim"
1396.158577	1.002484000000095	states													"      state_name
id              
7   reinit_cpoke"
1397.161061	0.0020059999999375577	states													"   state_name
id           
4     nicstim"
1397.163067	0.0005020000000968139	states													"       state_name
id               
5   stimon_nosein"
1397.163569	0.5519970000000285	states													"   state_name
id           
4     nicstim"
