participant_id	original_participant_id	species	sex
sub-H113	sub-H113	Rattus norvegicus	M
sub-P007	sub-P007	Rattus norvegicus	M
sub-P013	sub-P013	Rattus norvegicus	M
sub-P100	sub-P100	Rattus norvegicus	M
sub-P116	sub-P116	Rattus norvegicus	M
