onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
826.225565	326.78600000000006	trials	1.0	1.0	-1.0			0.0	0.0	l	-1.0	
826.225565	326.78600000000006	states										"   state_name
id           
0     state_0"
826.225565	0.016000000000076398	states										"          state_name
id                  
1   sending_trialnum"
826.241565	0.00950599999998758	states										"           state_name
id                   
3   clean_sound_state"
826.251071	0.0015099999999392821	states										"   state_name
id           
4         iti"
826.252581	48.19898899999998	states										"         state_name
id                 
6   wait_for_cpoke1"
874.45157	0.0015090000000554937	states										"             state_name
id                     
8   play_stimulus_sound"
874.453079	0.6199910000000273	states										"   state_name
id           
9      cpoke1"
875.07307	0.20099499999992076	states										"        state_name
id                
12  temp_violation"
875.274065	0.09800000000007003	states										"         state_name
id                 
6   wait_for_cpoke1"
875.372065	0.0014999999999645297	states										"             state_name
id                     
8   play_stimulus_sound"
875.373565	0.014999999999986358	states										"   state_name
id           
9      cpoke1"
875.388565	0.20100300000001425	states										"        state_name
id                
12  temp_violation"
875.589568	0.1124969999999621	states										"         state_name
id                 
6   wait_for_cpoke1"
875.702065	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
875.703565	0.16350899999997637	states										"   state_name
id           
9      cpoke1"
875.867074	0.20099100000004455	states										"        state_name
id                
12  temp_violation"
876.068065	82.51249999999993	states										"         state_name
id                 
6   wait_for_cpoke1"
958.580565	0.0014999999999645297	states										"             state_name
id                     
8   play_stimulus_sound"
958.582065	0.23600000000010368	states										"   state_name
id           
9      cpoke1"
958.818065	0.20100800000000163	states										"        state_name
id                
12  temp_violation"
959.019073	1.4479949999999917	states										"         state_name
id                 
6   wait_for_cpoke1"
960.467068	0.0015029999999569554	states										"             state_name
id                     
8   play_stimulus_sound"
