onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
440.029237	0.01599399999997786	states																					"          state_name
id                  
1   sending_trialnum"
440.045231	0.0004979999999932261	states																					"        state_name
id                
3   wait_for_cpoke"
440.045729	0.5000069999999823	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
440.545736	6.9249940000000265	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
447.47073	0.0014949999999771535	states																					"     state_name
id             
7   nic_prestim"
447.472225	0.00050000000004502	states																					"   state_name
id           
8       cpoke"
447.472725	0.055999999999983174	states																					"   state_name
id           
9    cpoke_in"
447.528725	0.09350000000000591	states																					"   state_name
id           
10  cpoke_out"
447.622225	0.0004999999999881766	states																					"       state_name
id               
11  wait_for_cout"
447.622725	0.21201600000000553	states																					"        state_name
id                
12  wait_for_spoke"
447.834741	7.946484999999996	states																					"     state_name
id             
15  error_state"
455.781226	0.003498999999976604	states																					"        state_name
id                
19  clean_up_state"
455.785226	11.079998999999987	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	0.0	l	d	0.0	-4.0	0.0	2.0			
455.785226	11.079998999999987	states																					"   state_name
id           
0     state_0"
455.785226	0.016009999999994307	states																					"          state_name
id                  
1   sending_trialnum"
455.801236	0.0004940000000033251	states																					"        state_name
id                
3   wait_for_cpoke"
455.80173	0.5004950000000008	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
456.302225	1.3734989999999812	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
457.675724	0.0010009999999738284	states																					"     state_name
id             
7   nic_prestim"
457.676725	0.0005179999999995744	states																					"   state_name
id           
8       cpoke"
457.677243	0.03498200000001361	states																					"   state_name
id           
9    cpoke_in"
457.712225	0.029000999999993837	states																					"   state_name
id           
10  cpoke_out"
457.741226	0.04699900000002799	states																					"   state_name
id           
9    cpoke_in"
457.788225	0.03849999999999909	states																					"   state_name
id           
10  cpoke_out"
457.826725	0.0005039999999780775	states																					"       state_name
id               
11  wait_for_cout"
457.827229	1.0879960000000324	states																					"        state_name
id                
12  wait_for_spoke"
458.915225	7.946507999999994	states																					"     state_name
id             
15  error_state"
466.861733	0.0034919999999942775	states																					"        state_name
id                
19  clean_up_state"
466.86573	22.226495	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0	0.0	0.0	
466.86573	22.226495	states																					"   state_name
id           
0     state_0"
466.86573	0.01600700000000188	states																					"          state_name
id                  
1   sending_trialnum"
466.881737	0.00048800000001847366	states																					"        state_name
id                
3   wait_for_cpoke"
