onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	ProAnti3_cpoketry	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1600.973015	76.43000000000006	trials	1.0	l	1.0	p	1.0	r	3.0	0.0	0.0	1.0	l	p	
1600.973015	76.43000000000006	states													"   state_name
id           
0     state_0"
1600.973015	0.016016000000036	states													"          state_name
id                  
1   sending_trialnum"
1600.989031	45.49698999999987	states													"      state_name
id              
3   wait_for_cin"
1646.486021	0.002004000000169981	states													"   state_name
id           
4     nicstim"
1646.488025	0.0004939999998896383	states													"       state_name
id               
5   stimon_nosein"
1646.488519	0.20499599999993734	states													"   state_name
id           
4     nicstim"
1646.693515	1.1585019999999986	states													"      state_name
id              
7   reinit_cpoke"
1647.852017	0.0020050000000537693	states													"   state_name
id           
4     nicstim"
1647.854022	0.0005089999999654538	states													"       state_name
id               
5   stimon_nosein"
1647.854531	0.3704840000000331	states													"   state_name
id           
4     nicstim"
1648.225015	2.9594999999999345	states													"      state_name
id              
7   reinit_cpoke"
1651.184515	0.0020010000000638684	states													"   state_name
id           
4     nicstim"
1651.186516	0.0005049999999755528	states													"       state_name
id               
5   stimon_nosein"
1651.187021	0.3750039999999899	states													"   state_name
id           
4     nicstim"
1651.562025	17.22748999999999	states													"      state_name
id              
7   reinit_cpoke"
1668.789515	0.0019999999999527063	states													"   state_name
id           
4     nicstim"
1668.791515	0.0005090000001928274	states													"       state_name
id               
5   stimon_nosein"
1668.792024	0.4235069999999723	states													"   state_name
id           
4     nicstim"
1669.215531	0.13798399999996036	states													"       state_name
id               
8   wait_for_cout"
1669.353515	0.0010019999999713036	states													"   state_name
id           
9       csgap"
1669.354517	0.5004980000001069	states													"        state_name
id                
16  wait_for_spoke"
1669.855015	0.0005159999998340936	states													"             state_name
id                     
18  soff_reward_chooser"
1669.855531	0.06398400000011861	states													"     state_name
id             
22  reward_soff"
1669.919515	0.4329999999999927	states													"         state_name
id                 
26  post_reward_off"
1670.352515	4.04950800000006	states													"         state_name
id                 
27  soft_drink_time"
1674.402023	0.0004919999998946878	states													"    state_name
id            
28  warndanger"
1674.402515	3.000500000000102	states													"            state_name
id                    
29  warndanger_warning"
1677.403531	26.638493000000153	trials	1.0	l	1.0	p	1.0	r	1.0	0.0	0.0	1.0	l	p	
1677.403531	26.638493000000153	states													"   state_name
id           
0     state_0"
1677.403531	0.015984000000116794	states													"          state_name
id                  
1   sending_trialnum"
1677.419515	0.9194999999999709	states													"      state_name
id              
3   wait_for_cin"
1678.339015	0.0025000000000545697	states													"   state_name
id           
4     nicstim"
1678.341515	0.0005079999998542917	states													"       state_name
id               
5   stimon_nosein"
1678.342023	0.4049919999999929	states													"   state_name
id           
4     nicstim"
1678.747015	17.45300300000008	states													"      state_name
id              
7   reinit_cpoke"
1696.200018	0.0020179999999072606	states													"   state_name
id           
4     nicstim"
1696.202036	0.00048000000015235855	states													"       state_name
id               
5   stimon_nosein"
1696.202516	0.42699900000002344	states													"   state_name
id           
4     nicstim"
1696.629515	0.007999999999810825	states													"       state_name
id               
8   wait_for_cout"
1696.637515	0.0010080000001835288	states													"   state_name
id           
9       csgap"
1696.638523	0.43449199999986376	states													"        state_name
id                
16  wait_for_spoke"
1697.073015	0.0005000000001018634	states													"             state_name
id                     
18  soff_reward_chooser"
1697.073515	0.06399999999985084	states													"     state_name
id             
22  reward_soff"
1697.137515	0.9640000000001692	states													"         state_name
id                 
26  post_reward_off"
1698.101515	2.939999999999827	states													"         state_name
id                 
27  soft_drink_time"
1701.041515	0.0005020000000968139	states													"    state_name
id            
28  warndanger"
1701.042017	3.000007000000096	states													"            state_name
id                    
29  warndanger_warning"
1704.042515	27.301503999999795	trials	1.0	l	1.0	p	1.0	r	2.0	0.0	0.0	1.0	l	p	
1704.042515	27.301503999999795	states													"   state_name
id           
0     state_0"
1704.042515	0.015999999999849024	states													"          state_name
id                  
1   sending_trialnum"
1704.058515	16.43100000000004	states													"      state_name
id              
3   wait_for_cin"
1720.489515	0.0020059999999375577	states													"   state_name
id           
4     nicstim"
1720.491521	0.0005040000000917644	states													"       state_name
id               
5   stimon_nosein"
1720.492025	0.5259949999999662	states													"   state_name
id           
4     nicstim"
1721.01802	1.0020130000000336	states													"      state_name
id              
7   reinit_cpoke"
1722.020033	0.0024820000001000153	states													"   state_name
id           
4     nicstim"
1722.022515	0.0004999999998744897	states													"       state_name
id               
5   stimon_nosein"
1722.023015	0.4600000000000364	states													"   state_name
id           
4     nicstim"
1722.483015	1.0025160000000142	states													"      state_name
id              
7   reinit_cpoke"
1723.485531	0.0024859999998625426	states													"   state_name
id           
4     nicstim"
1723.488017	0.0004980000001069129	states													"       state_name
id               
5   stimon_nosein"
1723.488515	0.4175159999999778	states													"   state_name
id           
4     nicstim"
1723.906031	0.034994000000097	states													"       state_name
id               
8   wait_for_cout"
1723.941025	0.0014899999998760904	states													"   state_name
id           
9       csgap"
