onset	duration	nwb_table	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
2092.344824	0.0010070000002997403	states																		"     state_name
id             
4   nic_prestim"
2092.345831	0.43698799999992843	states																		"   state_name
id           
5       cpoke"
2092.782819	3.000496000000112	states																		"         state_name
id                 
12  nic_error_state"
2095.783315	0.0035089999996671395	states																		"        state_name
id                
14  clean_up_state"
2095.787315	5.248999999999796	trials	5.0	2.0	1.0	1.0	0.5	-5.0	2.0	6500.0	6500.0		1.0			l	3.0			
2095.787315	5.248999999999796	states																		"   state_name
id           
0     state_0"
2095.787315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2095.803315	2.136500000000069	states																		"        state_name
id                
3   wait_for_cpoke"
2097.939815	0.0010089999996125698	states																		"     state_name
id             
4   nic_prestim"
2097.940824	0.09149100000013277	states																		"   state_name
id           
5       cpoke"
2098.032315	3.0005089999999655	states																		"         state_name
id                 
12  nic_error_state"
2101.032824	0.003490999999939959	states																		"        state_name
id                
14  clean_up_state"
2101.036817	4.082005999999637	trials	5.0	2.0	1.0	1.0	0.5	-2.0	-1.0	6500.0	6500.0		1.0			l	3.0			
2101.036817	4.082005999999637	states																		"   state_name
id           
0     state_0"
2101.036817	0.016000999999960186	states																		"          state_name
id                  
1   sending_trialnum"
2101.052818	0.9394969999998466	states																		"        state_name
id                
3   wait_for_cpoke"
2101.992315	0.0010010000000875152	states																		"     state_name
id             
4   nic_prestim"
2101.993316	0.12150100000008024	states																		"   state_name
id           
5       cpoke"
2102.114817	3.0004979999998795	states																		"         state_name
id                 
12  nic_error_state"
2105.115315	0.003507999999783351	states																		"        state_name
id                
14  clean_up_state"
2105.11932	13.785499000000073	trials	5.0	2.0	1.0	1.0	0.5	-2.0	1.0	6500.0	6500.0		1.0			l	3.0			
2105.11932	13.785499000000073	states																		"   state_name
id           
0     state_0"
2105.11932	0.015995000000202708	states																		"          state_name
id                  
1   sending_trialnum"
2105.135315	10.716499999999996	states																		"        state_name
id                
3   wait_for_cpoke"
2115.851815	0.0010019999999713036	states																		"     state_name
id             
4   nic_prestim"
2115.852817	0.048012000000198896	states																		"   state_name
id           
5       cpoke"
2115.900829	3.0005009999999857	states																		"         state_name
id                 
12  nic_error_state"
2118.90133	0.0034889999997176346	states																		"        state_name
id                
14  clean_up_state"
2118.905315	6.4445049999999355	trials	5.0	2.0	1.0	1.0	0.5	-5.0	2.0	6500.0	6500.0		1.0			l	3.0	0.0	0.0	
2118.905315	6.4445049999999355	states																		"   state_name
id           
0     state_0"
2118.905315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2118.921315	3.3460000000000036	states																		"        state_name
id                
3   wait_for_cpoke"
2122.267315	0.0010160000001633307	states																		"     state_name
id             
4   nic_prestim"
2122.268331	0.07749299999977666	states																		"   state_name
id           
5       cpoke"
2122.345824	3.0004909999997835	states																		"         state_name
id                 
12  nic_error_state"
2125.346315	0.003505000000131986	states																		"        state_name
id                
14  clean_up_state"
2125.350331	5.483483999999862	trials	5.0	2.0	1.0	1.0	0.5	-5.0	1.0	6500.0	6500.0	0.0	0.0	0.0		l	2.0			
2125.350331	5.483483999999862	states																		"   state_name
id           
0     state_0"
2125.350331	0.015984000000116794	states																		"          state_name
id                  
1   sending_trialnum"
2125.366315	0.95251399999961	states																		"        state_name
id                
3   wait_for_cpoke"
2126.318829	0.0010019999999713036	states																		"     state_name
id             
4   nic_prestim"
