onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	state_type
745.015626	123.52101400000004	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	-2.5	6500.0	14200.0		r	1.0	d	1.0	1.0	-2.5	4.0	
745.015626	123.52101400000004	states																				"   state_name
id           
0     state_0"
745.015626	0.016000999999960186	states																				"          state_name
id                  
1   sending_trialnum"
745.031627	0.0004989999999907013	states																				"        state_name
id                
3   wait_for_cpoke"
745.032126	0.0005090000000791406	states																				"         state_name
id                 
4   wait_for_cpoke1"
745.032635	0.5000049999999874	states																				"            state_name
id                    
5   wait_for_cpoke_dir"
745.53264	120.00048700000002	states																				"            state_name
id                    
7   wait_for_cpoke_bis"
865.533127	3.00000399999999	states																				"       state_name
id               
19  timeout_state"
868.533131	0.0035090000000082	states																				"        state_name
id                
20  clean_up_state"
868.537131	57.71450099999993	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-2.5	2.5	6500.0	14200.0		l	3.0	d	1.0	-2.5	2.5	3.0	
868.537131	57.71450099999993	states																				"   state_name
id           
0     state_0"
868.537131	0.015998999999965235	states																				"          state_name
id                  
1   sending_trialnum"
868.55313	0.0005119999999578795	states																				"        state_name
id                
3   wait_for_cpoke"
868.553642	0.0004910000000108994	states																				"         state_name
id                 
4   wait_for_cpoke1"
868.554133	0.5004950000000008	states																				"            state_name
id                    
5   wait_for_cpoke_dir"
869.054628	54.00849900000003	states																				"            state_name
id                    
7   wait_for_cpoke_bis"
923.063127	0.0015039999999544307	states																				"     state_name
id             
8   nic_prestim"
923.064631	0.0004950000000008004	states																				"   state_name
id           
9       cpoke"
923.065126	0.08249999999998181	states																				"   state_name
id           
10   cpoke_in"
