onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	state_type
234.854121	3.756500000000017	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	1.0	6500.0	14200.0	1.0	r	4.0	d	0.0	1.0	1.0	1.0	
234.854121	3.756500000000017	states																				"   state_name
id           
0     state_0"
234.854121	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
234.870121	0.0004999999999881766	states																				"        state_name
id                
3   wait_for_cpoke"
234.870621	0.5004999999999882	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
235.371121	0.8995000000000175	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
236.270621	0.0010000000000047748	states																				"     state_name
id             
7   nic_prestim"
236.271621	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
236.272121	0.3100000000000023	states																				"   state_name
id           
9    cpoke_in"
236.582121	0.03649999999998954	states																				"   state_name
id           
10  cpoke_out"
236.618621	0.19350000000000023	states																				"   state_name
id           
9    cpoke_in"
236.812121	0.09050000000002001	states																				"   state_name
id           
10  cpoke_out"
236.902621	0.42399999999997817	states																				"   state_name
id           
9    cpoke_in"
237.326621	0.04449999999999932	states																				"   state_name
id           
10  cpoke_out"
237.371121	0.285000000000025	states																				"   state_name
id           
9    cpoke_in"
237.656121	0.015501000000000431	states																				"   state_name
id           
10  cpoke_out"
237.671622	0.0004989999999907013	states																				"       state_name
id               
11  wait_for_cout"
237.672121	0.4344999999999857	states																				"        state_name
id                
12  wait_for_spoke"
238.106621	0.0005000000000165983	states																				"   state_name
id           
13  hit_state"
238.107121	0.5	states																				"    state_name
id            
14  hit_state2"
238.607121	0.003500000000002501	states																				"        state_name
id                
20  clean_up_state"
238.611121	8.743500000000012	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	-2.5	6500.0	14200.0		l	2.0	d	0.0	-4.0	-2.5	3.0	
238.611121	8.743500000000012	states																				"   state_name
id           
0     state_0"
238.611121	0.015999999999991132	states																				"          state_name
id                  
1   sending_trialnum"
238.627121	0.000503000000009024	states																				"        state_name
id                
3   wait_for_cpoke"
238.627624	0.5000050000000158	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
239.127629	3.959491999999983	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
243.087121	0.0010000000000047748	states																				"     state_name
id             
7   nic_prestim"
243.088121	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
