onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
10927.057184	120.34999900000003	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
10927.057184	120.34999900000003	states												"   state_name
id           
0     state_0"
10927.057184	0.016003000000637257	states												"          state_name
id                  
1   sending_trialnum"
10927.073187	30.658493000000817	states												"      state_name
id              
3   wait_for_cin"
10957.73168	1.0005000000001019	states												"   state_name
id           
4     context"
10958.73218	0.0010119999988091877	states												"   state_name
id           
6       csgap"
10958.733192	1.0000030000010156	states												"   state_name
id           
11    stim_on"
10959.733195	0.0014849999988655327	states												"   state_name
id           
12   stim_off"
10959.73468	81.95000000000073	states												"        state_name
id                
13  wait_for_spoke"
11041.68468	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
11041.68518	0.042999999999665306	states												"         state_name
id                 
16  reward_big_soff"
11041.72818	0.17700800000056915	states												"         state_name
id                 
23  post_reward_off"
11041.905188	2.500996999999188	states												"         state_name
id                 
24  soft_drink_time"
11044.406185	0.0004970000009052455	states												"    state_name
id            
25  warndanger"
11044.406682	3.0005009999986214	states												"            state_name
id                    
26  warndanger_warning"
11047.40768	144.8739999999998	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
11047.40768	144.8739999999998	states												"   state_name
id           
0     state_0"
11047.40768	0.01599999999962165	states												"          state_name
id                  
1   sending_trialnum"
11047.42368	78.10250000000087	states												"      state_name
id              
3   wait_for_cin"
11125.52618	1.0000039999995352	states												"   state_name
id           
4     context"
11126.526184	0.0010069999989354983	states												"   state_name
id           
6       csgap"
11126.527191	1.0	states												"   state_name
id           
11    stim_on"
11127.527191	0.0014890000002196757	states												"   state_name
id           
12   stim_off"
11127.52868	59.75200000000041	states												"        state_name
id                
13  wait_for_spoke"
11187.28068	5.001000000000204	states												"     state_name
id             
28  error_state"
11192.28218	213.70701199999894	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
11192.28218	213.70701199999894	states												"   state_name
id           
0     state_0"
11192.28218	0.01599999999962165	states												"          state_name
id                  
1   sending_trialnum"
11192.29818	81.60800500000005	states												"      state_name
id              
3   wait_for_cin"
11273.906185	1.0004950000002282	states												"   state_name
id           
4     context"
11274.90668	0.0010000000002037268	states												"   state_name
id           
6       csgap"
11274.90768	1.0005120000005263	states												"   state_name
id           
11    stim_on"
11275.908192	0.00148799999988114	states												"   state_name
id           
12   stim_off"
11275.90968	125.07849999999962	states												"        state_name
id                
13  wait_for_spoke"
11400.98818	5.001011999998809	states												"     state_name
id             
28  error_state"
11405.989681	113.33799900000122	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
11405.989681	113.33799900000122	states												"   state_name
id           
0     state_0"
11405.989681	0.01600000000144064	states												"          state_name
id                  
1   sending_trialnum"
11406.005681	104.04750699999931	states												"      state_name
id              
3   wait_for_cin"
11510.053188	1.0004920000010316	states												"   state_name
id           
4     context"
11511.05368	0.0014999999984866008	states												"   state_name
id           
6       csgap"
11511.05518	0.14150100000006205	states												"   state_name
id           
11    stim_on"
11511.196681	0.00050800000099116	states												"            state_name
id                    
14  son_reward_chooser"
11511.197189	0.04299100000025646	states												"        state_name
id                
17  reward_big_son"
11511.24018	0.9574999999986176	states												"        state_name
id                
22  post_reward_on"
11512.19768	0.24700900000061665	states												"         state_name
id                 
23  post_reward_off"
11512.444689	3.881992000000537	states												"         state_name
id                 
24  soft_drink_time"
11516.326681	0.0005110000001877779	states												"    state_name
id            
25  warndanger"
11516.327192	3.0004879999996774	states												"            state_name
id                    
26  warndanger_warning"
11519.328185	53.38599500000055	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
11519.328185	53.38599500000055	states												"   state_name
id           
0     state_0"
11519.328185	0.01599499999974796	states												"          state_name
id                  
1   sending_trialnum"
11519.34418	47.134500000000116	states												"      state_name
id              
3   wait_for_cin"
11566.47868	1.0	states												"   state_name
id           
4     context"
11567.47868	0.0010000000002037268	states												"   state_name
id           
6       csgap"
11567.47968	0.23350699999900826	states												"   state_name
id           
11    stim_on"
11567.713187	5.000993000001472	states												"     state_name
id             
28  error_state"
11572.71468	22.19550000000163	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
11572.71468	22.19550000000163	states												"   state_name
id           
0     state_0"
11572.71468	0.01600000000144064	states												"          state_name
id                  
1   sending_trialnum"
11572.73068	10.983000000000175	states												"      state_name
id              
3   wait_for_cin"
11583.71368	1.0005049999999756	states												"   state_name
id           
4     context"
11584.714185	0.0010069999989354983	states												"   state_name
id           
6       csgap"
11584.715192	0.5574919999999111	states												"   state_name
id           
11    stim_on"
11585.272684	0.0004960000005667098	states												"            state_name
id                    
14  son_reward_chooser"
11585.27318	0.042999999999665306	states												"        state_name
id                
17  reward_big_son"
11585.31618	0.9575000000004366	states												"        state_name
id                
22  post_reward_on"
11586.27368	0.41449999999895226	states												"         state_name
id                 
23  post_reward_off"
11586.68818	5.221000000001368	states												"         state_name
id                 
24  soft_drink_time"
11591.90918	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
11591.90968	3.000500000000102	states												"            state_name
id                    
26  warndanger_warning"
11594.91068	71.2484999999997	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
11594.91068	71.2484999999997	states												"   state_name
id           
0     state_0"
11594.91068	0.01599999999962165	states												"          state_name
id                  
1   sending_trialnum"
11594.92668	21.51800000000003	states												"      state_name
id              
3   wait_for_cin"
11616.44468	1.0000039999995352	states												"   state_name
id           
4     context"
