onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1737.67653	0.12950100000011844	states												"   state_name
id           
11    stim_on"
1737.806031	5.000998999999865	states												"     state_name
id             
28  error_state"
1742.80753	10.020999999999958	trials	0.0	l	1.0	p	1.0	r	0.0	0.0	0.0	l	p	
1742.80753	10.020999999999958	states												"   state_name
id           
0     state_0"
1742.80753	0.015999999999849024	states												"          state_name
id                  
1   sending_trialnum"
1742.82353	3.871507000000065	states												"      state_name
id              
3   wait_for_cin"
1746.695037	1.0005000000001019	states												"   state_name
id           
4     context"
1747.695537	0.001492999999982203	states												"   state_name
id           
6       csgap"
1747.69703	0.13049999999998363	states												"   state_name
id           
11    stim_on"
1747.82753	5.000999999999976	states												"     state_name
id             
28  error_state"
1752.829031	8.276010000000042	trials	0.0	l	1.0	p	1.0	r	0.0	0.0	0.0	l	p	
1752.829031	8.276010000000042	states												"   state_name
id           
0     state_0"
1752.829031	0.015998999999965235	states												"          state_name
id                  
1   sending_trialnum"
1752.84503	2.074000000000069	states												"      state_name
id              
3   wait_for_cin"
1754.91903	1.0000099999999748	states												"   state_name
id           
4     context"
1755.91904	0.0014900000001034641	states												"   state_name
id           
6       csgap"
1755.92053	0.18350099999997838	states												"   state_name
id           
11    stim_on"
1756.104031	5.001009999999951	states												"     state_name
id             
28  error_state"
1761.105532	6.882998000000043	trials	0.0	l	1.0	p	1.0	r	0.0	0.0	0.0	l	p	
1761.105532	6.882998000000043	states												"   state_name
id           
0     state_0"
1761.105532	0.015997999999854073	states												"          state_name
id                  
1   sending_trialnum"
1761.12153	0.6990000000000691	states												"      state_name
id              
3   wait_for_cin"
1761.82053	1.0	states												"   state_name
id           
4     context"
1762.82053	0.0010030000000824657	states												"   state_name
id           
6       csgap"
1762.821533	0.16599700000006123	states												"   state_name
id           
11    stim_on"
1762.98753	5.000999999999976	states												"     state_name
id             
28  error_state"
1767.98903	74.46200700000009	trials	0.0	r	2.0	p	1.0	r	0.0	0.0	0.0	r	p	
1767.98903	74.46200700000009	states												"   state_name
id           
0     state_0"
1767.98903	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1768.00503	68.39699999999993	states												"      state_name
id              
3   wait_for_cin"
1836.40203	1.00000399999999	states												"   state_name
id           
4     context"
1837.402034	0.0014960000000883156	states												"   state_name
id           
6       csgap"
1837.40353	0.0465039999999135	states												"   state_name
id           
11    stim_on"
1837.450034	5.0010030000000825	states												"     state_name
id             
28  error_state"
1842.45153	17.43850599999996	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1842.45153	17.43850599999996	states												"   state_name
id           
0     state_0"
1842.45153	0.016001999999843974	states												"          state_name
id                  
1   sending_trialnum"
1842.467532	1.9045050000001993	states												"      state_name
id              
3   wait_for_cin"
1844.372037	1.0004989999999907	states												"   state_name
id           
4     context"
1845.372536	0.0015069999999468564	states												"   state_name
id           
6       csgap"
1845.374043	0.1354870000000119	states												"   state_name
id           
11    stim_on"
1845.50953	0.0005029999999806023	states												"            state_name
id                    
14  son_reward_chooser"
1845.510033	0.038497000000006665	states												"        state_name
id                
17  reward_big_son"
1845.54853	0.9619999999999891	states												"        state_name
id                
22  post_reward_on"
1846.51053	0.5360000000000582	states												"         state_name
id                 
23  post_reward_off"
1847.04653	9.843000999999958	states												"         state_name
id                 
24  soft_drink_time"
1856.889531	0.0005039999998643907	states												"    state_name
id            
25  warndanger"
1856.890035	3.000001000000111	states												"            state_name
id                    
26  warndanger_warning"
1859.89053	14.020500000000084	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1859.89053	14.020500000000084	states												"   state_name
id           
0     state_0"
1859.89053	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1859.90653	1.7200159999999869	states												"      state_name
id              
3   wait_for_cin"
1861.626546	1.0004969999999958	states												"   state_name
id           
4     context"
1862.627043	0.0014869999999973516	states												"   state_name
id           
6       csgap"
1862.62853	0.7419999999999618	states												"   state_name
id           
11    stim_on"
1863.37053	0.0005000000001018634	states												"            state_name
id                    
14  son_reward_chooser"
1863.37103	0.038499999999885404	states												"        state_name
id                
17  reward_big_son"
1863.40953	0.9619999999999891	states												"        state_name
id                
22  post_reward_on"
1864.37153	0.8960000000001855	states												"         state_name
id                 
23  post_reward_off"
1865.26753	5.642499999999927	states												"         state_name
id                 
24  soft_drink_time"
1870.91003	0.0005000000001018634	states												"    state_name
id            
25  warndanger"
1870.91053	3.0004999999998745	states												"            state_name
id                    
26  warndanger_warning"
1873.91153	13.914502999999968	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1873.91153	13.914502999999968	states												"   state_name
id           
0     state_0"
1873.91153	0.015999999999849024	states												"          state_name
id                  
1   sending_trialnum"
1873.92753	6.067005999999992	states												"      state_name
id              
3   wait_for_cin"
1879.994536	1.000494000000117	states												"   state_name
id           
4     context"
1880.99503	0.0014999999998508429	states												"   state_name
id           
6       csgap"
1880.99653	0.055000000000063665	states												"   state_name
id           
11    stim_on"
1881.05153	0.0005040000000917644	states												"            state_name
id                    
14  son_reward_chooser"
1881.052034	0.0384959999998955	states												"        state_name
id                
17  reward_big_son"
1881.09053	0.9619999999999891	states												"        state_name
id                
22  post_reward_on"
1882.05253	0.012000000000170985	states												"         state_name
id                 
23  post_reward_off"
1882.06453	2.7609999999999673	states												"         state_name
id                 
24  soft_drink_time"
1884.82553	0.0005029999999806023	states												"    state_name
id            
25  warndanger"
1884.826033	3.0	states												"            state_name
id                    
26  warndanger_warning"
1887.82653	14.327999999999975	trials	1.0	l	1.0	p	1.0	r	0.0	0.0	1.0	l	p	
1887.82653	14.327999999999975	states												"   state_name
id           
0     state_0"
1887.82653	0.015999999999849024	states												"          state_name
id                  
1   sending_trialnum"
1887.84253	7.04300000000012	states												"      state_name
id              
3   wait_for_cin"
1894.88553	1.0	states												"   state_name
id           
4     context"
1895.88553	0.0015120000000479195	states												"   state_name
id           
6       csgap"
1895.887042	0.07698800000002848	states												"   state_name
id           
11    stim_on"
1895.96403	0.0004999999998744897	states												"            state_name
id                    
14  son_reward_chooser"
1895.96453	0.03850000000011278	states												"        state_name
id                
17  reward_big_son"
1896.00303	0.9619999999999891	states												"        state_name
id                
22  post_reward_on"
1896.96503	0.15099999999983993	states												"         state_name
id                 
23  post_reward_off"
1897.11603	2.0375000000001364	states												"         state_name
id                 
24  soft_drink_time"
1899.15353	0.0005019999998694402	states												"    state_name
id            
25  warndanger"
