onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
532.642729	28.00348299999996	states												"   state_name
id           
0     state_0"
532.642729	0.016000999999960186	states												"          state_name
id                  
1   sending_trialnum"
532.65873	19.941996000000017	states												"      state_name
id              
3   wait_for_cin"
552.600726	1.0000069999999823	states												"   state_name
id           
4     context"
553.600733	0.0014840000000049258	states												"   state_name
id           
6       csgap"
553.602217	0.003996000000029198	states												"   state_name
id           
11    stim_on"
553.606213	0.0005119999999578795	states												"            state_name
id                    
14  son_reward_chooser"
553.606725	0.06399899999996705	states												"        state_name
id                
17  reward_big_son"
553.670724	0.9364880000000539	states												"        state_name
id                
22  post_reward_on"
554.607212	0.08450600000003305	states												"         state_name
id                 
23  post_reward_off"
554.691718	2.9534949999999753	states												"         state_name
id                 
24  soft_drink_time"
557.645213	0.0005039999999780775	states												"    state_name
id            
25  warndanger"
557.645717	3.000495000000001	states												"            state_name
id                    
26  warndanger_warning"
560.646718	26.882011000000034	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
560.646718	26.882011000000034	states												"   state_name
id           
0     state_0"
560.646718	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
560.662718	18.415493999999967	states												"      state_name
id              
3   wait_for_cin"
579.078212	1.0000029999999924	states												"   state_name
id           
4     context"
580.078215	0.001496999999972104	states												"   state_name
id           
6       csgap"
580.079712	0.039499999999975444	states												"   state_name
id           
11    stim_on"
580.119212	0.0005100000000766158	states												"            state_name
id                    
14  son_reward_chooser"
580.119722	0.0639929999999822	states												"        state_name
id                
17  reward_big_son"
580.183715	0.936507000000006	states												"        state_name
id                
22  post_reward_on"
581.120222	0.03349100000002636	states												"         state_name
id                 
23  post_reward_off"
581.153713	3.3744990000000143	states												"         state_name
id                 
24  soft_drink_time"
584.528212	0.000505999999973028	states												"    state_name
id            
25  warndanger"
584.528718	3.0000109999999722	states												"            state_name
id                    
26  warndanger_warning"
587.529212	21.930999999999926	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
587.529212	21.930999999999926	states												"   state_name
id           
0     state_0"
587.529212	0.01599999999996271	states												"          state_name
id                  
1   sending_trialnum"
587.545212	13.187505999999985	states												"      state_name
id              
3   wait_for_cin"
600.732718	1.000001999999995	states												"   state_name
id           
4     context"
601.73272	0.0014949999999771535	states												"   state_name
id           
6       csgap"
601.734215	0.017503000000033353	states												"   state_name
id           
11    stim_on"
601.751718	0.0004969999999957508	states												"            state_name
id                    
14  son_reward_chooser"
601.752215	0.06400100000007569	states												"        state_name
id                
17  reward_big_son"
601.816216	0.9365019999999049	states												"        state_name
id                
22  post_reward_on"
602.752718	0.0034940000000460714	states												"         state_name
id                 
23  post_reward_off"
602.756212	3.7035059999999476	states												"         state_name
id                 
24  soft_drink_time"
606.459718	0.0004940000000033251	states												"    state_name
id            
25  warndanger"
606.460212	3.0	states												"            state_name
id                    
26  warndanger_warning"
609.460728	67.05848400000002	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
609.460728	67.05848400000002	states												"   state_name
id           
0     state_0"
609.460728	0.01599999999996271	states												"          state_name
id                  
1   sending_trialnum"
609.476728	59.76048400000002	states												"      state_name
id              
3   wait_for_cin"
669.237212	1.0	states												"   state_name
id           
4     context"
670.237212	0.0010049999999637294	states												"   state_name
id           
6       csgap"
670.238217	0.10750100000007023	states												"   state_name
id           
11    stim_on"
670.345718	0.0005049999999755528	states												"            state_name
id                    
14  son_reward_chooser"
670.346223	0.06399399999997968	states												"        state_name
id                
17  reward_big_son"
670.410217	0.9365030000000161	states												"        state_name
id                
22  post_reward_on"
671.34672	0.12249199999996563	states												"         state_name
id                 
23  post_reward_off"
671.469212	2.0490009999999756	states												"         state_name
id                 
24  soft_drink_time"
673.518213	0.0005120000000715663	states												"    state_name
id            
25  warndanger"
673.518725	3.000487000000021	states												"            state_name
id                    
26  warndanger_warning"
676.519721	27.343002999999953	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
676.519721	27.343002999999953	states												"   state_name
id           
0     state_0"
676.519721	0.015992999999980384	states												"          state_name
id                  
1   sending_trialnum"
676.535714	18.479498000000035	states												"      state_name
id              
3   wait_for_cin"
695.015212	1.0	states												"   state_name
id           
4     context"
696.015212	0.0009999999999763531	states												"   state_name
id           
6       csgap"
696.016212	0.07350900000005822	states												"   state_name
id           
11    stim_on"
696.089721	0.0004909999998972125	states												"            state_name
id                    
14  son_reward_chooser"
696.090212	0.06400000000007822	states												"        state_name
id                
17  reward_big_son"
696.154212	0.9365040000000135	states												"        state_name
id                
22  post_reward_on"
697.090716	0.10500099999990198	states												"         state_name
id                 
23  post_reward_off"
697.195717	3.666003000000046	states												"         state_name
id                 
24  soft_drink_time"
700.86172	0.0004940000000033251	states												"    state_name
id            
25  warndanger"
700.862214	3.000509999999963	states												"            state_name
id                    
26  warndanger_warning"
703.863212	16.211006999999995	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
703.863212	16.211006999999995	states												"   state_name
id           
0     state_0"
703.863212	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
703.879212	8.389508999999975	states												"      state_name
id              
3   wait_for_cin"
712.268721	1.0000079999999798	states												"   state_name
id           
4     context"
713.268729	0.0014830000000074506	states												"   state_name
id           
6       csgap"
713.270212	0.03400099999998929	states												"   state_name
id           
11    stim_on"
713.304213	0.0005109999999604042	states												"            state_name
id                    
14  son_reward_chooser"
713.304724	0.06400400000006812	states												"        state_name
id                
17  reward_big_son"
713.368728	0.9364839999999504	states												"        state_name
id                
22  post_reward_on"
714.305212	0.12850000000003092	states												"         state_name
id                 
23  post_reward_off"
714.433712	2.639499999999998	states												"         state_name
id                 
24  soft_drink_time"
717.073212	0.000505999999973028	states												"    state_name
id            
25  warndanger"
717.073718	3.0005009999999857	states												"            state_name
id                    
26  warndanger_warning"
720.07472	118.24599699999999	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
720.07472	118.24599699999999	states												"   state_name
id           
0     state_0"
720.07472	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
720.09072	110.06850799999995	states												"      state_name
id              
3   wait_for_cin"
830.159228	1.000487000000021	states												"   state_name
id           
4     context"
831.159715	0.0010019999999713036	states												"   state_name
id           
6       csgap"
831.160717	0.3354980000000296	states												"   state_name
id           
11    stim_on"
831.496215	0.0005019999999831271	states												"            state_name
id                    
14  son_reward_chooser"
831.496717	0.06399999999996453	states												"        state_name
id                
17  reward_big_son"
831.560717	0.9364950000000363	states												"        state_name
id                
22  post_reward_on"
832.497212	0.48099999999999454	states												"         state_name
id                 
23  post_reward_off"
832.978212	2.341505999999981	states												"         state_name
id                 
24  soft_drink_time"
835.319718	0.0004950000000008004	states												"    state_name
id            
25  warndanger"
835.320213	3.000503999999978	states												"            state_name
id                    
26  warndanger_warning"
838.321212	22.86300600000004	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
838.321212	22.86300600000004	states												"   state_name
id           
0     state_0"
838.321212	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
838.337212	15.377999999999929	states												"      state_name
id              
3   wait_for_cin"
853.715212	1.0	states												"   state_name
id           
4     context"
854.715212	0.0010030000000824657	states												"   state_name
id           
6       csgap"
854.716215	0.35850799999991523	states												"   state_name
id           
11    stim_on"
855.074723	0.0004890000000159489	states												"            state_name
id                    
14  son_reward_chooser"
855.075212	0.06400000000007822	states												"        state_name
id                
17  reward_big_son"
855.139212	0.936505000000011	states												"        state_name
id                
22  post_reward_on"
856.075717	0.019994999999994434	states												"         state_name
id                 
23  post_reward_off"
856.095712	2.0875049999999646	states												"         state_name
id                 
24  soft_drink_time"
858.183217	0.0005039999999780775	states												"    state_name
id            
25  warndanger"
