onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1567.007022	1.0004879999999048	states																			"   state_name
id           
5       cpoke"
1568.00751	0.31499600000006467	states																			"       state_name
id               
6   wait_for_cout"
1568.322506	0.2664999999999509	states																			"        state_name
id                
7   wait_for_spoke"
1568.589006	3.0005100000000766	states																			"     state_name
id             
10  error_state"
1571.589516	0.003496000000041022	states																			"        state_name
id                
14  clean_up_state"
1571.593513	4.013999999999896	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0		1.0			l	3.0	1.0	1.0	
1571.593513	4.013999999999896	states																			"   state_name
id           
0     state_0"
1571.593513	0.015996999999970285	states																			"          state_name
id                  
1   sending_trialnum"
1571.60951	0.14800599999989572	states																			"        state_name
id                
3   wait_for_cpoke"
1571.757516	0.10049000000003616	states																			"     state_name
id             
4   nic_prestim"
1571.858006	0.7455059999999776	states																			"   state_name
id           
5       cpoke"
1572.603512	3.000494000000117	states																			"         state_name
id                 
12  nic_error_state"
1575.604006	0.0035069999998995627	states																			"        state_name
id                
14  clean_up_state"
1575.608006	2.5109999999999673	trials	0.0	5.0	2.0	1.0	1.0	0.15	2.0	0.0	6500.0	14200.0	1.0	0.0		1.0	r	1.0	0.0	0.0	
1575.608006	2.5109999999999673	states																			"   state_name
id           
0     state_0"
1575.608006	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1575.624006	0.0005000000001018634	states																			"        state_name
id                
3   wait_for_cpoke"
1575.624506	0.09999999999990905	states																			"     state_name
id             
4   nic_prestim"
1575.724506	1.0005160000000615	states																			"   state_name
id           
5       cpoke"
1576.725022	0.15248899999983223	states																			"       state_name
id               
6   wait_for_cout"
1576.877511	0.18149500000004082	states																			"        state_name
id                
7   wait_for_spoke"
1577.059006	0.0005069999999705033	states																			"   state_name
id           
8   hit_state"
1577.059513	0.0004930000000058499	states																			"    state_name
id            
9   hit_state2"
1577.060006	0.003504000000020824	states																			"        state_name
id                
14  clean_up_state"
1577.06351	1.0554959999999483	states																			"                state_name
id                        
2   check_next_trial_ready"
1578.119512	6.754494000000022	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0	0.0	0.0	0.0		l	2.0	1.0	1.0	
1578.119512	6.754494000000022	states																			"   state_name
id           
0     state_0"
1578.119512	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1578.135512	1.7619969999998375	states																			"        state_name
id                
3   wait_for_cpoke"
1579.897509	0.10000700000000506	states																			"     state_name
id             
4   nic_prestim"
1579.997516	1.000490000000127	states																			"   state_name
id           
5       cpoke"
1580.998006	0.5175090000000182	states																			"       state_name
id               
6   wait_for_cout"
1581.515515	0.3549909999999272	states																			"        state_name
id                
7   wait_for_spoke"
1581.870506	3.000005999999985	states																			"     state_name
id             
10  error_state"
1584.870512	0.0034940000000460714	states																			"        state_name
id                
14  clean_up_state"
1584.874506	3.072005999999874	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0	1.0	1.0	
1584.874506	3.072005999999874	states																			"   state_name
id           
0     state_0"
1584.874506	0.015999999999849024	states																			"          state_name
id                  
1   sending_trialnum"
1584.890506	0.6095000000000255	states																			"        state_name
id                
3   wait_for_cpoke"
1585.500006	0.09999999999990905	states																			"     state_name
id             
4   nic_prestim"
1585.600006	1.0000150000000758	states																			"   state_name
id           
5       cpoke"
1586.600021	0.29100100000005114	states																			"       state_name
id               
6   wait_for_cout"
1586.891022	0.22249600000009195	states																			"        state_name
id                
7   wait_for_spoke"
1587.113518	0.0004879999999047868	states																			"   state_name
id           
8   hit_state"
1587.114006	0.2380000000000564	states																			"    state_name
id            
9   hit_state2"
1587.352006	0.0035069999998995627	states																			"        state_name
id                
14  clean_up_state"
1587.355513	0.5909990000000107	states																			"                state_name
id                        
2   check_next_trial_ready"
1587.947011	8.120507000000089	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0	1.0	1.0	
1587.947011	8.120507000000089	states																			"   state_name
id           
0     state_0"
1587.947011	0.01601099999993494	states																			"          state_name
id                  
1   sending_trialnum"
1587.963022	5.613484000000199	states																			"        state_name
id                
3   wait_for_cpoke"
1593.576506	0.09999999999990905	states																			"     state_name
id             
4   nic_prestim"
1593.676506	1.0000059999999849	states																			"   state_name
id           
5       cpoke"
1594.676512	0.06249400000001515	states																			"       state_name
id               
6   wait_for_cout"
1594.739006	0.4574999999999818	states																			"        state_name
id                
7   wait_for_spoke"
1595.196506	0.0005000000001018634	states																			"   state_name
id           
8   hit_state"
1595.197006	0.22999999999979082	states																			"    state_name
id            
9   hit_state2"
1595.427006	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1595.430506	0.6370120000001407	states																			"                state_name
id                        
2   check_next_trial_ready"
1596.068006	7.430000000000064	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0			
1596.068006	7.430000000000064	states																			"   state_name
id           
0     state_0"
1596.068006	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1596.084006	4.820999999999913	states																			"        state_name
id                
3   wait_for_cpoke"
1600.905006	0.10051100000009683	states																			"     state_name
id             
4   nic_prestim"
1601.005517	1.000489000000016	states																			"   state_name
id           
5       cpoke"
1602.006006	0.12950399999999718	states																			"       state_name
id               
6   wait_for_cout"
1602.13551	0.5149959999998828	states																			"        state_name
id                
7   wait_for_spoke"
1602.650506	0.0005000000001018634	states																			"   state_name
id           
8   hit_state"
1602.651006	0.21850100000006023	states																			"    state_name
id            
9   hit_state2"
