onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
720.122027	279.0905	trials	0.0	1.0	-1.0			0.0	0.0	l	-1.0	
720.122027	279.0905	states										"   state_name
id           
0     state_0"
720.122027	0.016009000000053675	states										"          state_name
id                  
1   sending_trialnum"
720.138036	0.00949199999990924	states										"           state_name
id                   
3   clean_sound_state"
720.147528	0.0010140000000546934	states										"   state_name
id           
4         iti"
720.148542	34.37098500000002	states										"         state_name
id                 
6   wait_for_cpoke1"
754.519527	0.0015069999999468564	states										"             state_name
id                     
8   play_stimulus_sound"
754.521034	0.2254930000000286	states										"   state_name
id           
9      cpoke1"
754.746527	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
754.947527	0.21700499999997191	states										"         state_name
id                 
6   wait_for_cpoke1"
755.164532	0.0015039999999544307	states										"             state_name
id                     
8   play_stimulus_sound"
755.166036	0.25648999999998523	states										"   state_name
id           
9      cpoke1"
755.422526	0.2010010000000193	states										"        state_name
id                
12  temp_violation"
755.623527	137.61501500000008	states										"         state_name
id                 
6   wait_for_cpoke1"
893.238542	0.001485000000002401	states										"             state_name
id                     
8   play_stimulus_sound"
893.240027	0.27549999999996544	states										"   state_name
id           
9      cpoke1"
893.515527	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
893.716527	55.596502999999984	states										"         state_name
id                 
6   wait_for_cpoke1"
949.31303	0.0015019999999594802	states										"             state_name
id                     
8   play_stimulus_sound"
949.314532	0.5379950000000235	states										"   state_name
id           
9      cpoke1"
949.852527	0.20101499999998396	states										"        state_name
id                
12  temp_violation"
950.053542	31.49848499999996	states										"         state_name
id                 
6   wait_for_cpoke1"
981.552027	0.0015040000000681175	states										"             state_name
id                     
8   play_stimulus_sound"
981.553531	1.6259959999999865	states										"   state_name
id           
9      cpoke1"
983.179527	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
983.380527	1.3234999999999673	states										"         state_name
id                 
6   wait_for_cpoke1"
984.704027	0.0014999999999645297	states										"             state_name
id                     
8   play_stimulus_sound"
984.705527	1.5869989999999916	states										"   state_name
id           
9      cpoke1"
986.292526	0.2010010000000193	states										"        state_name
id                
12  temp_violation"
986.493527	0.19950700000003962	states										"         state_name
id                 
6   wait_for_cpoke1"
986.693034	0.001492999999982203	states										"             state_name
id                     
8   play_stimulus_sound"
986.694527	0.30050900000003367	states										"   state_name
id           
9      cpoke1"
986.995036	0.20099099999993086	states										"        state_name
id                
12  temp_violation"
987.196027	1.7075000000000955	states										"         state_name
id                 
6   wait_for_cpoke1"
988.903527	0.001500999999962005	states										"             state_name
id                     
8   play_stimulus_sound"
988.905028	0.015497999999979584	states										"   state_name
id           
9      cpoke1"
988.920526	0.20100600000000668	states										"        state_name
id                
12  temp_violation"
989.121532	0.0015130000000453947	states										"             state_name
id                     
8   play_stimulus_sound"
989.123045	0.9559939999999187	states										"   state_name
id           
9      cpoke1"
990.079039	0.2009930000000395	states										"        state_name
id                
12  temp_violation"
990.280032	0.0014949999999771535	states										"             state_name
id                     
8   play_stimulus_sound"
990.281527	0.5735090000000582	states										"   state_name
id           
9      cpoke1"
990.855036	0.20099099999993086	states										"        state_name
id                
12  temp_violation"
991.056027	2.659012000000075	states										"         state_name
id                 
6   wait_for_cpoke1"
993.715039	0.0014879999999948268	states										"             state_name
id                     
8   play_stimulus_sound"
