onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
18.162626	7.566497000000002	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-1.0	1.0	6500.0	14200.0		l	3.0	d	1.0	-1.0	1.0	3.0			
18.162626	7.566497000000002	states																						"   state_name
id           
0     state_0"
18.162626	0.015999000000000763	states																						"          state_name
id                  
1   sending_trialnum"
18.178625	0.0004980000000003315	states																						"        state_name
id                
3   wait_for_cpoke"
18.179123	0.5	states																						"            state_name
id                    
4   wait_for_cpoke_dir"
18.679123	3.001999999999999	states																						"            state_name
id                    
6   wait_for_cpoke_bis"
21.681123	0.0010000000000012221	states																						"     state_name
id             
7   nic_prestim"
21.682123	0.0005090000000009809	states																						"   state_name
id           
8       cpoke"
21.682632	0.9414999999999978	states																						"   state_name
id           
9    cpoke_in"
22.624132	0.1004959999999997	states																						"   state_name
id           
10  cpoke_out"
22.724628	0.0004950000000008004	states																						"         state_name
id                 
17  nic_error_state"
22.725123	3.000499999999999	states																						"          state_name
id                  
18  nic_error_state2"
25.725623	0.003500000000002501	states																						"        state_name
id                
20  clean_up_state"
25.729623	46.80749999999999	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	1.0	6500.0	14200.0		l	3.0	d	1.0	-4.0	1.0	3.0	0.0	1.0	
25.729623	46.80749999999999	states																						"   state_name
id           
0     state_0"
25.729623	0.015999999999998238	states																						"          state_name
id                  
1   sending_trialnum"
25.745623	0.0005000000000023874	states																						"        state_name
id                
3   wait_for_cpoke"
25.746123	0.5000009999999975	states																						"            state_name
id                    
4   wait_for_cpoke_dir"
26.246124	42.42149900000001	states																						"            state_name
id                    
6   wait_for_cpoke_bis"
68.667623	0.001004999999992151	states																						"     state_name
id             
7   nic_prestim"
68.668628	0.0004950000000008004	states																						"   state_name
id           
8       cpoke"
68.669123	0.06250500000000159	states																						"   state_name
id           
9    cpoke_in"
68.731628	0.08050099999999816	states																						"   state_name
id           
10  cpoke_out"
68.812129	0.6199960000000004	states																						"   state_name
id           
9    cpoke_in"
69.432125	0.10050999999999988	states																						"   state_name
id           
10  cpoke_out"
69.532635	0.0004880000000042628	states																						"         state_name
id                 
17  nic_error_state"
69.533123	3.0005000000000024	states																						"          state_name
id                  
18  nic_error_state2"
72.533623	0.0034999999999882903	states																						"        state_name
id                
20  clean_up_state"
72.537629	9.673005000000003	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.05	1.0	-4.0	6500.0	14200.0	0.0	r	1.0	d	1.0	1.0	-4.0	2.0			
72.537629	9.673005000000003	states																						"   state_name
id           
0     state_0"
72.537629	0.01599400000000628	states																						"          state_name
id                  
1   sending_trialnum"
72.553623	0.0005089999999938755	states																						"        state_name
id                
3   wait_for_cpoke"
72.554132	0.50049700000001	states																						"            state_name
id                    
4   wait_for_cpoke_dir"
73.054629	2.362493999999998	states																						"            state_name
id                    
6   wait_for_cpoke_bis"
75.417123	0.00100100000000225	states																						"     state_name
id             
7   nic_prestim"
75.418124	0.0004989999999907013	states																						"   state_name
id           
8       cpoke"
75.418623	1.39950300000001	states																						"   state_name
id           
9    cpoke_in"
76.818126	0.1905000000000001	states																						"       state_name
id               
11  wait_for_cout"
77.008626	1.1980009999999908	states																						"        state_name
id                
12  wait_for_spoke"
78.206627	4.000496999999996	states																						"     state_name
id             
15  error_state"
82.207124	0.0035100000000056752	states																						"        state_name
id                
20  clean_up_state"
82.211123	17.286500000000004	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.05	-1.0	-4.0	6500.0	14200.0		l	2.0	d	0.0	-1.0	-4.0	3.0	0.0	1.0	
82.211123	17.286500000000004	states																						"   state_name
id           
0     state_0"
82.211123	0.016000000000005343	states																						"          state_name
id                  
1   sending_trialnum"
