onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	state_type
680.49756	355.28600499999993	trials	1.0	1.0	-1.0			0.0	0.0	l	-1.0	
680.49756	355.28600499999993	states										"   state_name
id           
0     state_0"
680.49756	0.016015999999922315	states										"          state_name
id                  
1   sending_trialnum"
680.513576	0.009493000000020402	states										"           state_name
id                   
3   clean_sound_state"
680.523069	0.0015070000000605432	states										"   state_name
id           
4         iti"
680.524576	7.659984000000009	states										"         state_name
id                 
6   wait_for_cpoke1"
688.18456	0.0014999999999645297	states										"             state_name
id                     
8   play_stimulus_sound"
688.18606	0.06799999999998363	states										"   state_name
id           
9      cpoke1"
688.25406	0.20100700000000415	states										"        state_name
id                
12  temp_violation"
688.455067	25.113493000000062	states										"         state_name
id                 
6   wait_for_cpoke1"
713.56856	0.0015159999999241336	states										"             state_name
id                     
8   play_stimulus_sound"
713.570076	0.10148400000002766	states										"   state_name
id           
9      cpoke1"
713.67156	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
713.87256	30.701509999999985	states										"         state_name
id                 
6   wait_for_cpoke1"
744.57407	0.0014899999999897773	states										"             state_name
id                     
8   play_stimulus_sound"
744.57556	0.08950400000003356	states										"   state_name
id           
9      cpoke1"
744.665064	0.20099599999991824	states										"        state_name
id                
12  temp_violation"
744.86606	0.08200000000010732	states										"         state_name
id                 
6   wait_for_cpoke1"
744.94806	0.0014999999999645297	states										"             state_name
id                     
8   play_stimulus_sound"
744.94956	0.22450000000003456	states										"   state_name
id           
9      cpoke1"
745.17406	0.20101899999997386	states										"        state_name
id                
12  temp_violation"
745.375079	0.0014810000000125	states										"             state_name
id                     
8   play_stimulus_sound"
745.37656	0.11549999999999727	states										"   state_name
id           
9      cpoke1"
745.49206	0.20100700000000415	states										"        state_name
id                
12  temp_violation"
745.693067	0.7149929999999358	states										"         state_name
id                 
6   wait_for_cpoke1"
746.40806	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
746.40956	0.42750999999998385	states										"   state_name
id           
9      cpoke1"
746.83707	0.2009899999999334	states										"        state_name
id                
12  temp_violation"
747.03806	12.428499999999985	states										"         state_name
id                 
6   wait_for_cpoke1"
759.46656	0.0015000000000782165	states										"             state_name
id                     
8   play_stimulus_sound"
759.46806	0.07949999999993906	states										"   state_name
id           
9      cpoke1"
759.54756	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
759.74856	14.304508000000055	states										"         state_name
id                 
6   wait_for_cpoke1"
774.053068	0.0014919999999847278	states										"             state_name
id                     
8   play_stimulus_sound"
774.05456	0.027499999999918145	states										"   state_name
id           
9      cpoke1"
774.08206	0.20100700000000415	states										"        state_name
id                
12  temp_violation"
774.283067	0.07800200000008317	states										"         state_name
id                 
6   wait_for_cpoke1"
774.361069	0.0014909999999872525	states										"             state_name
id                     
8   play_stimulus_sound"
774.36256	0.38799999999991996	states										"   state_name
id           
9      cpoke1"
774.75056	0.20100000000002183	states										"        state_name
id                
12  temp_violation"
774.95156	1.663503999999989	states										"         state_name
id                 
6   wait_for_cpoke1"
