onset	duration	nwb_table	PBups_hit_history	PBups_violation_history	SidesSection_previous_sounds	SidesSection_previous_samples	SidesSection_previous_memory_gaps	SidesSection_previous_rt_task	SidesSection_previous_stims	PBupsSection_LocalPrevSides	PBupsSection_LocalPrevSounds	PBups_prot_title	state_type
724.927085	4413.680498	trials	1.0	1.0	2.0			0.0	0.0	r	2.0	P	
724.927085	4413.680498	states											"   state_name
id           
0     state_0"
724.927085	0.016000999999960186	states											"          state_name
id                  
1   sending_trialnum"
724.943086	0.009512999999969907	states											"           state_name
id                   
3   clean_sound_state"
724.952599	0.001485000000002401	states											"   state_name
id           
4         iti"
724.954084	105.39199900000006	states											"         state_name
id                 
6   wait_for_cpoke1"
830.346083	0.001504999999951906	states											"             state_name
id                     
8   play_stimulus_sound"
830.347588	0.07150500000000193	states											"   state_name
id           
9      cpoke1"
830.419093	0.20099000000004708	states											"        state_name
id                
12  temp_violation"
830.620083	0.0364999999999327	states											"         state_name
id                 
6   wait_for_cpoke1"
830.656583	0.0015010000000756918	states											"             state_name
id                     
8   play_stimulus_sound"
830.658084	0.28149899999993977	states											"   state_name
id           
9      cpoke1"
830.939583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
831.140583	0.6900060000000394	states											"         state_name
id                 
6   wait_for_cpoke1"
831.830589	0.0014939999999796783	states											"             state_name
id                     
8   play_stimulus_sound"
831.832083	0.05750000000000455	states											"   state_name
id           
9      cpoke1"
831.889583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
832.090583	25.26300600000002	states											"         state_name
id                 
6   wait_for_cpoke1"
857.353589	0.0014989999999670545	states											"             state_name
id                     
8   play_stimulus_sound"
857.355088	0.09150099999999384	states											"   state_name
id           
9      cpoke1"
857.446589	0.20099400000003698	states											"        state_name
id                
12  temp_violation"
857.647583	109.62500599999998	states											"         state_name
id                 
6   wait_for_cpoke1"
967.272589	0.0015029999999569554	states											"             state_name
id                     
8   play_stimulus_sound"
967.274092	0.545001999999954	states											"   state_name
id           
9      cpoke1"
967.819094	0.2009890000000496	states											"        state_name
id                
12  temp_violation"
968.020083	23.487499999999955	states											"         state_name
id                 
6   wait_for_cpoke1"
991.507583	0.001506000000063068	states											"             state_name
id                     
8   play_stimulus_sound"
991.509089	0.02400000000000091	states											"   state_name
id           
9      cpoke1"
991.533089	0.20099400000003698	states											"        state_name
id                
12  temp_violation"
991.734083	0.8550039999998944	states											"         state_name
id                 
6   wait_for_cpoke1"
992.589087	0.0014960000000883156	states											"             state_name
id                     
8   play_stimulus_sound"
992.590583	0.320508000000018	states											"   state_name
id           
9      cpoke1"
992.911091	0.20099299999992581	states											"        state_name
id                
12  temp_violation"
993.112084	324.70399899999995	states											"         state_name
id                 
6   wait_for_cpoke1"
1317.816083	0.0015000000000782165	states											"             state_name
id                     
8   play_stimulus_sound"
1317.817583	0.6980000000000928	states											"   state_name
id           
9      cpoke1"
1318.515583	0.20099999999979445	states											"        state_name
id                
12  temp_violation"
1318.716583	6.197000000000116	states											"         state_name
id                 
6   wait_for_cpoke1"
1324.913583	0.0015109999999367574	states											"             state_name
id                     
8   play_stimulus_sound"
1324.915094	0.07298900000000685	states											"   state_name
id           
9      cpoke1"
1324.988083	0.20100700000011784	states											"        state_name
id                
12  temp_violation"
1325.18909	30.756492999999864	states											"         state_name
id                 
6   wait_for_cpoke1"
1355.945583	0.0015069999999468564	states											"             state_name
id                     
8   play_stimulus_sound"
1355.94709	0.30249300000014046	states											"   state_name
id           
9      cpoke1"
1356.249583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
1356.450583	177.56050499999992	states											"         state_name
id                 
6   wait_for_cpoke1"
1534.011088	0.001500999999962005	states											"             state_name
id                     
8   play_stimulus_sound"
1534.012589	0.325994000000037	states											"   state_name
id           
9      cpoke1"
1534.338583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
1534.539583	263.13151700000003	states											"         state_name
id                 
6   wait_for_cpoke1"
1797.6711	0.001483999999891239	states											"             state_name
id                     
8   play_stimulus_sound"
1797.672584	0.09549900000001799	states											"   state_name
id           
9      cpoke1"
1797.768083	0.2010050000001229	states											"        state_name
id                
12  temp_violation"
1797.969088	0.5254949999998644	states											"         state_name
id                 
6   wait_for_cpoke1"
1798.494583	0.0015010000001893786	states											"             state_name
id                     
8   play_stimulus_sound"
1798.496084	0.16799899999978152	states											"   state_name
id           
9      cpoke1"
1798.664083	0.20101500000009764	states											"        state_name
id                
12  temp_violation"
1798.865098	0.001500999999962005	states											"             state_name
id                     
8   play_stimulus_sound"
1798.866599	0.32498400000008587	states											"   state_name
id           
9      cpoke1"
1799.191583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
1799.392583	204.72699999999986	states											"         state_name
id                 
6   wait_for_cpoke1"
2004.119583	0.0015130000001590815	states											"             state_name
id                     
8   play_stimulus_sound"
2004.121096	1.4534869999999955	states											"   state_name
id           
9      cpoke1"
2005.574583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
2005.775583	0.747515999999905	states											"         state_name
id                 
6   wait_for_cpoke1"
2006.523099	0.001483999999891239	states											"             state_name
id                     
8   play_stimulus_sound"
2006.524583	0.22300000000018372	states											"   state_name
id           
9      cpoke1"
2006.747583	0.20100000000002183	states											"        state_name
id                
12  temp_violation"
2006.948583	0.8194999999998345	states											"         state_name
id                 
6   wait_for_cpoke1"
2007.768083	0.0015000000000782165	states											"             state_name
id                     
8   play_stimulus_sound"
